country,iso3,indicator_code,indicator_name,year,value,unit,obs_status,decimal
Europe & Central Asia,ECS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,16.2973766509372,,,0
Europe & Central Asia,ECS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,16.0327107526495,,,0
Europe & Central Asia,ECS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,15.7749113912591,,,0
Europe & Central Asia,ECS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,15.5288814614256,,,0
Europe & Central Asia (excluding high income),ECA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,10.066107035901,,,0
Europe & Central Asia (excluding high income),ECA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,9.82005532586501,,,0
Europe & Central Asia (excluding high income),ECA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,9.61678050997266,,,0
Europe & Central Asia (excluding high income),ECA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,9.4228237958442,,,0
Europe & Central Asia (excluding high income),ECA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,9.25622880235829,,,0
Europe & Central Asia (IDA & IBRD countries),TEC,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,12.8719799323058,,,0
Europe & Central Asia (IDA & IBRD countries),TEC,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,12.5512517354736,,,0
Europe & Central Asia (IDA & IBRD countries),TEC,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,12.2663261403509,,,0
Europe & Central Asia (IDA & IBRD countries),TEC,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,11.9914871798939,,,0
Europe & Central Asia (IDA & IBRD countries),TEC,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,11.7401261839188,,,0
European Union,EUU,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,20.3750307956607,,,0
European Union,EUU,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,20.0780889113611,,,0
European Union,EUU,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,19.7868737552614,,,0
European Union,EUU,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,19.4904059703204,,,0
European Union,EUU,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,19.1927508562703,,,0
Fragile and conflict affected situations,FCS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,3.96443201279837,,,0
Fragile and conflict affected situations,FCS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,3.93217274703926,,,0
Fragile and conflict affected situations,FCS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,3.9009057724467,,,0
Fragile and conflict affected situations,FCS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,3.87083841577833,,,0
Fragile and conflict affected situations,FCS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,3.84650486440212,,,0
Heavily indebted poor countries (HIPC),HPC,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,2.92652448949533,,,0
Heavily indebted poor countries (HIPC),HPC,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,2.9056973556519,,,0
Heavily indebted poor countries (HIPC),HPC,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,2.88859833658544,,,0
Heavily indebted poor countries (HIPC),HPC,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,2.87557165484176,,,0
Heavily indebted poor countries (HIPC),HPC,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,2.86615188892334,,,0
High income,,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,17.8438801502311,,,0
High income,,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,17.5106432079105,,,0
High income,,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,17.1821398490054,,,0
High income,,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,16.8702043045439,,,0
High income,,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,16.5766970601159,,,0
IBRD only,IBD,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,8.86907575914731,,,0
IBRD only,IBD,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,8.55958121959094,,,0
IBRD only,IBD,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,8.26352954006266,,,0
IBRD only,IBD,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,7.98925096747554,,,0
IBRD only,IBD,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,7.74048603294574,,,0
IDA & IBRD total,IBT,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,7.48895130123562,,,0
IDA & IBRD total,IBT,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,7.26171460490448,,,0
IDA & IBRD total,IBT,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,7.04279210121662,,,0
IDA & IBRD total,IBT,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,6.83945283053357,,,0
IDA & IBRD total,IBT,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,6.65473072898136,,,0
IDA blend,IDB,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,3.46095871086724,,,0
IDA blend,IDB,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,3.42088278873211,,,0
IDA blend,IDB,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,3.38673741186947,,,0
IDA blend,IDB,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,3.3631193314191,,,0
IDA blend,IDB,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,3.34462579206261,,,0
IDA only,IDX,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,3.77697893068878,,,0
IDA only,IDX,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,3.72124215665419,,,0
IDA only,IDX,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,3.66652449088935,,,0
IDA only,IDX,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,3.61537769603935,,,0
IDA only,IDX,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,3.56855067560736,,,0
IDA total,IDA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,3.66604342540692,,,0
IDA total,IDA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,3.61557657564976,,,0
IDA total,IDA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,3.56792377116517,,,0
IDA total,IDA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,3.52632394002637,,,0
IDA total,IDA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,3.48937180265636,,,0
Late-demographic dividend,LTE,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,11.5295825106413,,,0
Late-demographic dividend,LTE,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,11.070267526194,,,0
Late-demographic dividend,LTE,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,10.6271285573196,,,0
Late-demographic dividend,LTE,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,10.2190431819828,,,0
Late-demographic dividend,LTE,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,9.84662096818106,,,0
Latin America & Caribbean,LCN,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,8.60758091152324,,,0
Latin America & Caribbean,LCN,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,8.35689709815919,,,0
Latin America & Caribbean,LCN,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,8.11983439857911,,,0
Latin America & Caribbean,LCN,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,7.89701427607178,,,0
Latin America & Caribbean,LCN,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,7.68399621297092,,,0
Latin America & Caribbean (excluding high income),LAC,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,8.38961422014101,,,0
Latin America & Caribbean (excluding high income),LAC,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,8.15573409484887,,,0
Latin America & Caribbean (excluding high income),LAC,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,7.9314226303216,,,0
Latin America & Caribbean (excluding high income),LAC,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,7.71763531471015,,,0
Latin America & Caribbean (excluding high income),LAC,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,7.50934658109232,,,0
