country,iso3,indicator_code,indicator_name,year,value,unit,obs_status,decimal
Europe & Central Asia,ECS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2016,77.6812816553928,,,0
Europe & Central Asia,ECS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2015,77.330938408387,,,0
Europe & Central Asia (excluding high income),ECA,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2019,74.8158340567546,,,0
Europe & Central Asia (excluding high income),ECA,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2018,74.5927989243036,,,0
Europe & Central Asia (excluding high income),ECA,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2017,74.4033539029016,,,0
Europe & Central Asia (excluding high income),ECA,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2016,74.0313769065099,,,0
Europe & Central Asia (excluding high income),ECA,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2015,73.755408258866,,,0
Europe & Central Asia (IDA & IBRD countries),TEC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2019,74.590946255432,,,0
Europe & Central Asia (IDA & IBRD countries),TEC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2018,74.2976622013592,,,0
Europe & Central Asia (IDA & IBRD countries),TEC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2017,74.1318681774556,,,0
Europe & Central Asia (IDA & IBRD countries),TEC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2016,73.6902109808946,,,0
Europe & Central Asia (IDA & IBRD countries),TEC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2015,73.3408132950813,,,0
European Union,EUU,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2019,81.3194524901835,,,0
European Union,EUU,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2018,81.0317510064821,,,0
European Union,EUU,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2017,80.9301511681956,,,0
European Union,EUU,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2016,80.9529785979391,,,0
European Union,EUU,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2015,80.5707965259,,,0
Fragile and conflict affected situations,FCS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2019,62.1379545505037,,,0
Fragile and conflict affected situations,FCS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2018,61.7825083062786,,,0
Fragile and conflict affected situations,FCS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2017,61.2296826870125,,,0
Fragile and conflict affected situations,FCS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2016,60.9861836667017,,,0
Fragile and conflict affected situations,FCS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2015,60.7449931085508,,,0
Heavily indebted poor countries (HIPC),HPC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2019,63.089861994107,,,0
Heavily indebted poor countries (HIPC),HPC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2018,62.7986163404611,,,0
