country,iso3,indicator_code,indicator_name,year,value,variable
Peru,PER,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2019,88.0,dpt_immunization_coverage
Peru,PER,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2018,89.0,dpt_immunization_coverage
Peru,PER,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2017,89.0,dpt_immunization_coverage
Peru,PER,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2016,90.0,dpt_immunization_coverage
Peru,PER,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2015,90.0,dpt_immunization_coverage
Philippines,PHL,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2019,84.0,dpt_immunization_coverage
Philippines,PHL,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2018,84.0,dpt_immunization_coverage
Philippines,PHL,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2017,84.0,dpt_immunization_coverage
Philippines,PHL,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2016,84.0,dpt_immunization_coverage
Philippines,PHL,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2015,76.0,dpt_immunization_coverage
Poland,POL,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2019,95.0,dpt_immunization_coverage
Poland,POL,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2018,95.0,dpt_immunization_coverage
Poland,POL,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2017,96.0,dpt_immunization_coverage
Poland,POL,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2016,98.0,dpt_immunization_coverage
Poland,POL,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2015,98.0,dpt_immunization_coverage
Portugal,PRT,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2019,99.0,dpt_immunization_coverage
Portugal,PRT,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2018,99.0,dpt_immunization_coverage
