iso3,country,year,life_expectancy,source_indicator,source_provenance
TEA,East Asia & Pacific (IDA & IBRD countries),2019,75.8042877234534,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
EMU,Euro area,2022,81.6229719062905,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
EMU,Euro area,2021,81.5839330415712,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
EMU,Euro area,2020,81.4873571657503,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
EMU,Euro area,2019,82.2804211551829,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
ECS,Europe & Central Asia,2022,77.834452247983,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
ECS,Europe & Central Asia,2021,76.72864297207,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
ECS,Europe & Central Asia,2020,77.1754906029407,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
ECS,Europe & Central Asia,2019,78.3038716113385,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
ECA,Europe & Central Asia (excluding high income),2022,74.5731684190474,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
ECA,Europe & Central Asia (excluding high income),2021,72.8823762052943,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
ECA,Europe & Central Asia (excluding high income),2020,73.5536868675669,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
ECA,Europe & Central Asia (excluding high income),2019,74.8158340567546,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
TEC,Europe & Central Asia (IDA & IBRD countries),2022,74.1883654842503,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
TEC,Europe & Central Asia (IDA & IBRD countries),2021,72.1506406826172,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
