block,source,n_indicators,n_countries_median,missing_rate_median,variables,n_countries,median_country_missing_rate,asset_source_files
capacity,World Bank,6,215.0,0.009216589861751105,"physicians_per_1000,nurses_midwives_per_1000,hospital_beds_per_1000,current_health_expenditure_per_capita_ppp,current_health_expenditure_gdp,domestic_gov_health_expenditure_gdp",217,0.0,results/tables/expanded_indicator_coverage.csv;results/tables/block_missingness.csv
equity_access,World Bank,7,237.0,-0.0921658986175115,"uhc_service_coverage_index,domestic_gov_health_expenditure_share,out_of_pocket_expenditure_share,out_of_pocket_expenditure_per_capita_ppp,basic_sanitation_access,basic_drinking_water_access,basic_handwashing_access",217,0.0,results/tables/expanded_indicator_coverage.csv;results/tables/block_missingness.csv
preparedness,World Bank,4,230.0,-0.0599078341013825,"measles_immunization_coverage,dpt_immunization_coverage,tuberculosis_incidence,hiv_prevalence",217,0.0,results/tables/expanded_indicator_coverage.csv;results/tables/block_missingness.csv
vulnerability,World Bank,9,261.0,-0.2027649769585253,"age65_share,population_density,urban_population_share,ncd_mortality_risk,air_pollution_pm25,life_expectancy,under5_mortality,adult_mortality_female,adult_mortality_male",217,0.0,results/tables/expanded_indicator_coverage.csv;results/tables/block_missingness.csv
