cap_pct,eff_pct,burden_pct,share_countries_same_as_baseline
40,40,40,0.9056603773584906
40,40,45,0.9245283018867925
40,40,50,0.9528301886792453
40,40,55,0.9433962264150944
40,40,60,0.9150943396226415
40,45,40,0.9150943396226415
40,45,45,0.9339622641509434
40,45,50,0.9622641509433962
40,45,55,0.9528301886792453
40,45,60,0.9245283018867925
40,50,40,0.9056603773584906
40,50,45,0.9245283018867925
40,50,50,0.9528301886792453
40,50,55,0.9528301886792453
40,50,60,0.9339622641509434
40,55,40,0.8773584905660378
40,55,45,0.8962264150943396
40,55,50,0.9245283018867925
40,55,55,0.9245283018867925
40,55,60,0.9245283018867925
40,60,40,0.8490566037735849
40,60,45,0.8679245283018868
40,60,50,0.8867924528301887
40,60,55,0.8867924528301887
40,60,60,0.8867924528301887
45,40,40,0.9150943396226415
45,40,45,0.9339622641509434
45,40,50,0.9622641509433962
45,40,55,0.9528301886792453
45,40,60,0.9245283018867925
45,45,40,0.9245283018867925
45,45,45,0.9433962264150944
45,45,50,0.9716981132075472
45,45,55,0.9622641509433962
45,45,60,0.9339622641509434
45,50,40,0.9150943396226415
45,50,45,0.9339622641509434
45,50,50,0.9622641509433962
45,50,55,0.9622641509433962
45,50,60,0.9433962264150944
45,55,40,0.8867924528301887
45,55,45,0.9056603773584906
45,55,50,0.9339622641509434
45,55,55,0.9339622641509434
45,55,60,0.9339622641509434
45,60,40,0.8584905660377359
45,60,45,0.8773584905660378
45,60,50,0.8962264150943396
45,60,55,0.8962264150943396
45,60,60,0.8962264150943396
50,40,40,0.9433962264150944
50,40,45,0.9622641509433962
50,40,50,0.9905660377358491
50,40,55,0.9811320754716981
50,40,60,0.9528301886792453
50,45,40,0.9528301886792453
50,45,45,0.9716981132075472
50,45,50,1.0
50,45,55,0.9905660377358491
50,45,60,0.9622641509433962
50,50,40,0.9433962264150944
50,50,45,0.9622641509433962
50,50,50,0.9905660377358491
50,50,55,0.9905660377358491
50,50,60,0.9716981132075472
50,55,40,0.9150943396226415
50,55,45,0.9339622641509434
50,55,50,0.9622641509433962
50,55,55,0.9622641509433962
50,55,60,0.9622641509433962
50,60,40,0.8867924528301887
50,60,45,0.9056603773584906
50,60,50,0.9245283018867925
50,60,55,0.9245283018867925
50,60,60,0.9245283018867925
55,40,40,0.9245283018867925
55,40,45,0.9433962264150944
55,40,50,0.9716981132075472
55,40,55,0.9622641509433962
55,40,60,0.9339622641509434
55,45,40,0.9339622641509434
55,45,45,0.9528301886792453
55,45,50,0.9811320754716981
55,45,55,0.9716981132075472
55,45,60,0.9433962264150944
55,50,40,0.9245283018867925
55,50,45,0.9433962264150944
55,50,50,0.9716981132075472
55,50,55,0.9716981132075472
55,50,60,0.9528301886792453
55,55,40,0.8962264150943396
55,55,45,0.9150943396226415
55,55,50,0.9433962264150944
55,55,55,0.9433962264150944
55,55,60,0.9433962264150944
55,60,40,0.8679245283018868
55,60,45,0.8867924528301887
55,60,50,0.9056603773584906
55,60,55,0.9056603773584906
55,60,60,0.9056603773584906
60,40,40,0.8962264150943396
60,40,45,0.9150943396226415
60,40,50,0.9433962264150944
60,40,55,0.9339622641509434
60,40,60,0.9056603773584906
60,45,40,0.9056603773584906
60,45,45,0.9245283018867925
60,45,50,0.9528301886792453
60,45,55,0.9433962264150944
60,45,60,0.9150943396226415
60,50,40,0.8962264150943396
60,50,45,0.9150943396226415
60,50,50,0.9433962264150944
60,50,55,0.9433962264150944
60,50,60,0.9245283018867925
60,55,40,0.8773584905660378
60,55,45,0.8962264150943396
60,55,50,0.9245283018867925
60,55,55,0.9245283018867925
60,55,60,0.9245283018867925
60,60,40,0.8490566037735849
60,60,45,0.8679245283018868
60,60,50,0.8867924528301887
60,60,55,0.8867924528301887
60,60,60,0.8867924528301887
