evidence_variant_a,evidence_variant_b,n,profile_agreement,profile_agreement_ci_low,profile_agreement_ci_high,cohen_kappa,spearman,spearman_ci_low,spearman_ci_high,spearman_p
baseline_owid_excess_mortality,ghs_enhanced_owid,106,0.9716981132075472,0.9339622641509434,1.0,0.964313769498373,0.9960400030228985,0.9910381250702888,0.9973590810613308,3.828273564433717e-111
baseline_owid_excess_mortality,life_expectancy_loss,106,0.6415094339622641,0.5471698113207547,0.7358490566037735,0.5436728220233374,0.6604478927878681,0.5378341496985313,0.7564013065509074,1.3373402202861073e-14
ghs_enhanced_owid,life_expectancy_loss,106,0.6509433962264151,0.5566037735849056,0.7452830188679245,0.5544194501249715,0.6541501876716125,0.5309927241418366,0.7544338022410949,2.8802692725338255e-14
