model,repeat,fold,n_train,n_test,rmse,mae
huber,19,2,85,21,2287.7917383972094,1755.790067151708
huber,19,3,85,21,1763.9261081745233,1421.0052686818337
huber,19,4,85,21,1366.7180312328412,1055.6708139896275
elastic_net,0,0,84,22,1872.2388718361003,1670.6296521344993
elastic_net,0,1,85,21,1973.151412643264,1507.5550754422757
elastic_net,0,2,85,21,2397.6161048748368,1790.7555228518281
elastic_net,0,3,85,21,1631.807245838733,1169.5901665207023
elastic_net,0,4,85,21,1683.9410564720195,1257.960015373078
elastic_net,1,0,84,22,1690.3009046614577,1142.9352748422202
elastic_net,1,1,85,21,2134.308925998963,1787.6751466787287
elastic_net,1,2,85,21,1898.5403397342327,1402.3743170322296
elastic_net,1,3,85,21,1999.088795513162,1663.2872581124732
elastic_net,1,4,85,21,1972.9862397090217,1481.185775907878
elastic_net,2,0,84,22,2154.493919144532,1706.7192838883109
elastic_net,2,1,85,21,1607.5890993203416,1262.791666013032
elastic_net,2,2,85,21,3005.0897226909037,2278.956005170868
elastic_net,2,3,85,21,1376.028409401596,1190.8881158069844
elastic_net,2,4,85,21,1936.64676911171,1590.1584618810407
elastic_net,3,0,84,22,2402.601105368006,1812.9109670194462
elastic_net,3,1,85,21,1905.279681770184,1502.4079731484967
elastic_net,3,2,85,21,1270.758026925427,991.2970610457824
elastic_net,3,3,85,21,2293.537247334587,1885.7736403242848
elastic_net,3,4,85,21,1479.4759180933527,1263.9992244120226
elastic_net,4,0,84,22,1466.2087200463752,1145.069141000233
elastic_net,4,1,85,21,1768.6497988600895,1386.1433582274458
elastic_net,4,2,85,21,2312.081270358148,1879.6526941857676
elastic_net,4,3,85,21,2896.90326258109,2324.316086930771
elastic_net,4,4,85,21,1316.2690563003648,1132.463752891543
elastic_net,5,0,84,22,1647.434906483552,1380.372512513152
elastic_net,5,1,85,21,2245.8989666032007,1619.7715751476624
elastic_net,5,2,85,21,2331.6557133726546,1974.9184706198378
elastic_net,5,3,85,21,2025.9727190651533,1721.8514791072
elastic_net,5,4,85,21,1257.4760597351224,1033.1810142379877
elastic_net,6,0,84,22,1544.9929085152114,1286.6368932121227
elastic_net,6,1,85,21,1928.9167354522087,1333.8103463983489
elastic_net,6,2,85,21,1939.6128550759815,1673.0057132915372
elastic_net,6,3,85,21,1685.7657172615961,1286.4135899319408
elastic_net,6,4,85,21,2123.643098908388,1705.1823202126966
elastic_net,7,0,84,22,1841.016436859825,1366.2902496402178
elastic_net,7,1,85,21,1918.6535345889808,1614.2235830111542
elastic_net,7,2,85,21,2344.6875989621876,1750.0824697772496
elastic_net,7,3,85,21,1425.032533743536,1143.2444090308568
elastic_net,7,4,85,21,1823.3509030108235,1479.159146384832
elastic_net,8,0,84,22,2455.186364322594,2065.098556024434
elastic_net,8,1,85,21,1723.600940963044,1326.6028795049558
elastic_net,8,2,85,21,1679.0243197679704,1387.1806544306892
elastic_net,8,3,85,21,1775.871584749673,1408.2827426409717
elastic_net,8,4,85,21,1780.3781503810044,1333.3930164504352
elastic_net,9,0,84,22,2455.084681524921,1954.5753699489005
elastic_net,9,1,85,21,1378.7510357427757,1132.991333594872
elastic_net,9,2,85,21,2198.666659931472,1654.8602992804542
