model,n_countries,cv_protocol,cv_rmse_mean,cv_rmse_sd,cv_mae_mean,cv_mae_sd,cv_r2_mean,cv_r2_sd,delta_rmse_vs_ridge_mean,delta_rmse_vs_ridge_sd,corrected_t_vs_ridge,corrected_t_p_vs_ridge,wilcoxon_p_vs_ridge_per_repeat
linear,106,"5-fold x 20 repeats, seed 20260921, identical folds for all models",1811.9859273302473,300.8246939544684,1458.5847198618503,248.54818332612135,0.3426557121007944,0.03652719285130921,52.75905774592345,172.57299300284154,0.599566729337099,0.550164776794923,1.9073486328125e-06
ridge,106,"5-fold x 20 repeats, seed 20260921, identical folds for all models",1759.2268695843243,307.730379277684,1396.0640980680637,240.00137894152823,0.37829186246923385,0.026288363130921828,0.0,0.0,,,
huber,106,"5-fold x 20 repeats, seed 20260921, identical folds for all models",1787.8060456119836,328.5756932192141,1395.610705750964,260.8177752034944,0.3562530439311819,0.03397870198501962,28.579176027659834,163.05738749139255,0.34373404567605703,0.7317752640223507,0.0005855560302734375
elastic_net,106,"5-fold x 20 repeats, seed 20260921, identical folds for all models",1903.3651726627475,351.54711839618795,1497.3247425545567,277.8979452270855,0.2696453174553611,0.04439275960117383,144.13830307842363,170.3438006959131,1.65945850742045,0.10018813017429104,1.9073486328125e-06
random_forest,106,"5-fold x 20 repeats, seed 20260921, identical folds for all models",1567.7608805799473,241.83638148648166,1228.158623008116,222.86502368001592,0.5090521591610522,0.030470992330496605,-191.46598900437675,216.26556759915744,-1.7362712978677008,0.08562675862410296,1.9073486328125e-06
gradient_boosting,106,"5-fold x 20 repeats, seed 20260921, identical folds for all models",1627.8273125585026,270.5820024750678,1272.104435641455,222.8469446304822,0.46881496411366397,0.0413612191697599,-131.39955702582157,290.8898575931616,-0.885887651635309,0.377824861963024,1.9073486328125e-06
intercept_only,106,"5-fold x 20 repeats, seed 20260921, identical folds for all models",2253.2619946600385,408.2213803670775,1803.1643935647785,298.0785259571864,-0.02198427123026774,0.013393777640436219,494.0351250757148,223.2861120945976,4.339197742460166,3.4514304797452755e-05,1.9073486328125e-06
