decile,mean_pred,mean_obs,n
0,1098.7257829974885,1417.4971818181818,22
1,2532.611862259197,2138.7101638095237,21
2,3107.5591637536186,2614.8938871428572,21
3,3641.8928820279502,3022.22249,21
4,4800.546651694081,5845.4173871428575,21
