noise_multiplier,n_simulations,robust_profile_share,mean_profile_stability,median_profile_stability,most_likely_profile_agreement_with_baseline,mean_ci_width
0.5,250,0.8113207547169812,0.8992075471698113,0.984,0.9905660377358491,0.9056988503081264
0.5,500,0.8207547169811321,0.9007735849056604,0.981,0.9905660377358491,0.9159718573851533
0.5,1000,0.8207547169811321,0.9022830188679245,0.9855,0.9905660377358491,0.9112961332367798
1.0,250,0.7830188679245284,0.8777358490566037,0.944,0.9905660377358491,0.9405644001746769
1.0,500,0.7735849056603774,0.8785094339622643,0.945,0.9905660377358491,0.9458239795213628
1.0,1000,0.7924528301886793,0.8804716981132077,0.9495,0.9905660377358491,0.9397835123649362
2.0,250,0.6981132075471698,0.8270188679245283,0.866,0.9811320754716981,0.9652743729596129
2.0,500,0.6886792452830188,0.8292075471698114,0.867,0.9811320754716981,0.9689480836673049
2.0,1000,0.6698113207547169,0.8313301886792452,0.8685,0.9811320754716981,0.9598081378625891
