iso3,country,region,income_group,physicians_per_1000,physicians_per_1000_observed_years,physicians_per_1000_aggregation,nurses_midwives_per_1000,nurses_midwives_per_1000_observed_years,nurses_midwives_per_1000_aggregation,hospital_beds_per_1000,hospital_beds_per_1000_observed_years,hospital_beds_per_1000_aggregation,current_health_expenditure_per_capita_ppp,current_health_expenditure_per_capita_ppp_observed_years,current_health_expenditure_per_capita_ppp_aggregation,domestic_gov_health_expenditure_gdp,domestic_gov_health_expenditure_gdp_observed_years,domestic_gov_health_expenditure_gdp_aggregation,out_of_pocket_expenditure_share,out_of_pocket_expenditure_share_observed_years,out_of_pocket_expenditure_share_aggregation,uhc_service_coverage_index,uhc_service_coverage_index_observed_years,uhc_service_coverage_index_aggregation,measles_immunization_coverage,measles_immunization_coverage_observed_years,measles_immunization_coverage_aggregation,dpt_immunization_coverage,dpt_immunization_coverage_observed_years,dpt_immunization_coverage_aggregation,age65_share,age65_share_observed_years,age65_share_aggregation,population_density,population_density_observed_years,population_density_aggregation,life_expectancy,life_expectancy_observed_years,life_expectancy_aggregation,under5_mortality,under5_mortality_observed_years,under5_mortality_aggregation,adult_mortality_female,adult_mortality_female_observed_years,adult_mortality_female_aggregation,adult_mortality_male,adult_mortality_male_observed_years,adult_mortality_male_aggregation,gdp_per_capita_ppp,gdp_per_capita_ppp_observed_years,gdp_per_capita_ppp_aggregation,feature_missing_count,feature_missing_rate,primary_sample,extended_sample
TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,3.47675,4.0,mean_2015_2019,4.1206000000000005,5.0,mean_2015_2019,2.35,5.0,mean_2015_2019,1740.561016552052,5.0,mean_2015_2019,3.197014808,5.0,mean_2015_2019,43.40627594,5.0,mean_2015_2019,75.4,5.0,mean_2015_2019,91.4,5.0,mean_2015_2019,94.8,5.0,mean_2015_2019,8.918665108884671,5,mean_2015_2019,264.45898635477556,5.0,mean_2015_2019,72.85900000000001,5,mean_2015_2019,21.96,5.0,mean_2015_2019,109.6434,5,mean_2015_2019,191.3298,5,mean_2015_2019,35286.73364800155,5.0,mean_2015_2019,0,0.0,True,True
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,1.28,4.0,mean_2015_2019,2.45125,4.0,mean_2015_2019,1.8080000000000003,5.0,mean_2015_2019,702.1889112842229,5.0,mean_2015_2019,3.3459457880000003,5.0,mean_2015_2019,39.487773131999994,5.0,mean_2015_2019,74.0,5.0,mean_2015_2019,97.2,5.0,mean_2015_2019,97.8,5.0,mean_2015_2019,7.414727476982255,5,mean_2015_2019,74.95112126673534,5.0,mean_2015_2019,75.2056,5,mean_2015_2019,17.72,5.0,mean_2015_2019,62.7202,5,mean_2015_2019,123.70720000000001,5,mean_2015_2019,12993.8341172164,5.0,mean_2015_2019,0,0.0,True,True
TUR,Turkiye,Europe & Central Asia,Upper middle income,1.8084,5.0,mean_2015_2019,2.7274000000000003,5.0,mean_2015_2019,2.7079999999999997,5.0,mean_2015_2019,1123.1153234118578,5.0,mean_2015_2019,3.280289458,5.0,mean_2015_2019,17.06762619,5.0,mean_2015_2019,75.4,5.0,mean_2015_2019,96.8,5.0,mean_2015_2019,97.6,5.0,mean_2015_2019,8.003807971410529,5,mean_2015_2019,104.412713381755,5.0,mean_2015_2019,77.07239999999999,5,mean_2015_2019,12.24,5.0,mean_2015_2019,50.998400000000004,5,mean_2015_2019,117.0914,5,mean_2015_2019,27638.098375137703,5.0,mean_2015_2019,0,0.0,True,True
TUV,Tuvalu,East Asia & Pacific,Upper middle income,,,,4.537,1.0,latest_pre2020_2018,,,,850.3296643977416,5.0,mean_2015_2019,15.463061332,5.0,mean_2015_2019,1.094088738,5.0,mean_2015_2019,63.8,5.0,mean_2015_2019,93.8,5.0,mean_2015_2019,93.4,5.0,mean_2015_2019,5.4684489029583485,5,mean_2015_2019,360.6266666666666,5.0,mean_2015_2019,65.70759999999999,5,mean_2015_2019,24.34,5.0,mean_2015_2019,206.1956,5,mean_2015_2019,332.4866,5,mean_2015_2019,4550.834580765581,5.0,mean_2015_2019,2,0.13333333333333333,True,True
TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,0.05,1.0,latest_pre2020_2018,0.556,2.0,latest_pre2020_2018,0.5066666666666667,3.0,mean_2016_2019,99.13884122615846,5.0,mean_2015_2019,1.5364259959999997,5.0,mean_2015_2019,22.320554352,5.0,mean_2015_2019,43.0,5.0,mean_2015_2019,89.0,5.0,mean_2015_2019,91.6,5.0,mean_2015_2019,2.970934884828338,5,mean_2015_2019,62.79293316775797,5.0,mean_2015_2019,64.958,5,mean_2015_2019,49.86,5.0,mean_2015_2019,225.70499999999998,5,mean_2015_2019,303.4058,5,mean_2015_2019,3304.26020507813,5.0,mean_2015_2019,0,0.0,True,True
UGA,Uganda,Sub-Saharan Africa ,Low income,0.172,2.0,latest_pre2020_2017,1.50975,4.0,mean_2015_2018,,,,103.03748253852271,5.0,mean_2015_2019,0.686040258,5.0,mean_2015_2019,38.411842344,5.0,mean_2015_2019,49.4,5.0,mean_2015_2019,82.8,5.0,mean_2015_2019,92.4,5.0,mean_2015_2019,1.9845873374995278,5,mean_2015_2019,200.5520187512468,5.0,mean_2015_2019,65.12559999999999,5,mean_2015_2019,54.36,5.0,mean_2015_2019,237.54340000000002,5,mean_2015_2019,316.7494,5,mean_2015_2019,2584.2770386086822,5.0,mean_2015_2019,1,0.06666666666666667,True,True
UKR,Ukraine,Europe & Central Asia,Upper middle income,,,,,,,6.843999999999999,5.0,mean_2015_2019,834.4136442783398,5.0,mean_2015_2019,3.5065727700000004,5.0,mean_2015_2019,49.510514832,5.0,mean_2015_2019,77.4,5.0,mean_2015_2019,73.6,5.0,mean_2015_2019,48.2,5.0,mean_2015_2019,15.94096561932076,5,mean_2015_2019,78.36704636619724,5.0,mean_2015_2019,73.51140000000001,5,mean_2015_2019,8.940000000000001,5.0,mean_2015_2019,94.909,5,mean_2015_2019,255.0564,5,mean_2015_2019,16437.284375,5.0,mean_2015_2019,2,0.13333333333333333,True,True
URY,Uruguay,Latin America & Caribbean ,High income,5.01,2.0,latest_pre2020_2017,6.633,2.0,latest_pre2020_2019,2.496,5.0,mean_2015_2019,2085.65178001198,5.0,mean_2015_2019,6.000170804,5.0,mean_2015_2019,16.313303378,5.0,mean_2015_2019,84.6,5.0,mean_2015_2019,96.0,5.0,mean_2015_2019,93.6,5.0,mean_2015_2019,14.839756076076338,5,mean_2015_2019,19.34347845960462,5.0,mean_2015_2019,77.4568,5,mean_2015_2019,8.1,5.0,mean_2015_2019,78.841,5,mean_2015_2019,145.3732,5,mean_2015_2019,29561.028621070443,5.0,mean_2015_2019,0,0.0,True,True
USA,United States,North America,High income,3.482,2.0,latest_pre2020_2019,11.758000000000001,5.0,mean_2015_2019,2.75,5.0,mean_2015_2019,9857.968178676985,5.0,mean_2015_2019,8.527435303999999,5.0,mean_2015_2019,11.47162075,5.0,mean_2015_2019,87.0,5.0,mean_2015_2019,91.4,5.0,mean_2015_2019,94.4,5.0,mean_2015_2019,14.96568969813176,5,mean_2015_2019,35.67197907169454,5.0,mean_2015_2019,78.6390243902439,5,mean_2015_2019,6.62,5.0,mean_2015_2019,80.912,5,mean_2015_2019,137.27519999999998,5,mean_2015_2019,66473.01028986018,5.0,mean_2015_2019,0,0.0,True,True
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,2.3164000000000002,5.0,mean_2015_2019,10.61,2.0,latest_pre2020_2019,4.417999999999999,5.0,mean_2015_2019,353.6675260202366,5.0,mean_2015_2019,1.9899153479999998,5.0,mean_2015_2019,55.557495118000006,5.0,mean_2015_2019,78.4,5.0,mean_2015_2019,98.2,5.0,mean_2015_2019,98.2,5.0,mean_2015_2019,4.953731286246883,5,mean_2015_2019,72.26378168347307,5.0,mean_2015_2019,71.7478,5,mean_2015_2019,17.499999999999996,5.0,mean_2015_2019,121.26599999999999,5,mean_2015_2019,206.06640000000002,5,mean_2015_2019,8104.176423403913,5.0,mean_2015_2019,0,0.0,True,True
VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,,,,8.070250000000001,4.0,mean_2015_2018,4.293333333333334,3.0,mean_2015_2019,582.8421709196978,5.0,mean_2015_2019,2.695756388,5.0,mean_2015_2019,31.411157608000003,5.0,mean_2015_2019,78.4,5.0,mean_2015_2019,99.0,5.0,mean_2015_2019,98.2,5.0,mean_2015_2019,10.002330069608375,5,mean_2015_2019,270.8025641025642,5.0,mean_2015_2019,70.8374,5,mean_2015_2019,15.819999999999999,5.0,mean_2015_2019,139.81239999999997,5,mean_2015_2019,223.7538,5,mean_2015_2019,15548.844433408882,5.0,mean_2015_2019,1,0.06666666666666667,True,True
VEN,"Venezuela, RB",Latin America & Caribbean ,Not classified,1.664,1.0,latest_pre2020_2017,2.003,2.0,latest_pre2020_2018,0.9119999999999999,5.0,mean_2015_2019,79.0201669439367,1.0,latest_pre2020_2019,0.81175309,2.0,latest_pre2020_2019,34.12151718,2.0,latest_pre2020_2019,76.4,5.0,mean_2015_2019,88.6,5.0,mean_2015_2019,72.2,5.0,mean_2015_2019,7.102659638475896,5,mean_2015_2019,34.15922113258886,5.0,mean_2015_2019,72.4632,5,mean_2015_2019,23.18,5.0,mean_2015_2019,104.43199999999999,5,mean_2015_2019,221.5746,5,mean_2015_2019,,,,0,0.0,True,True
VGB,British Virgin Islands,Latin America & Caribbean ,High income,,,,8.94975,4.0,mean_2015_2018,,,,,,,,,,,,,,,,,,,,,,7.51024577837151,5,mean_2015_2019,229.5026666666666,5.0,mean_2015_2019,76.48500000000001,5,mean_2015_2019,14.88,5.0,mean_2015_2019,55.24679999999999,5,mean_2015_2019,106.48440000000001,5,mean_2015_2019,,,,8,0.5333333333333333,False,False
VIR,Virgin Islands (U.S.),Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.90820761911494,5,mean_2015_2019,306.3879999999998,5.0,mean_2015_2019,79.34829268292681,5,mean_2015_2019,,,,59.4126,5,mean_2015_2019,191.50600000000003,5,mean_2015_2019,43871.34309056333,5.0,mean_2015_2019,10,0.6666666666666666,False,False
VNM,Viet Nam,East Asia & Pacific,Lower middle income,0.8727500000000001,4.0,mean_2015_2019,1.441,2.0,latest_pre2020_2016,2.5,3.0,mean_2015_2017,455.728258324598,5.0,mean_2015_2019,2.094538022,5.0,mean_2015_2019,43.154988098000004,5.0,mean_2015_2019,70.6,5.0,mean_2015_2019,97.0,5.0,mean_2015_2019,90.2,5.0,mean_2015_2019,6.811828366232129,5,mean_2015_2019,303.38326182349795,5.0,mean_2015_2019,74.05519999999999,5,mean_2015_2019,20.860000000000003,5.0,mean_2015_2019,76.67519999999999,5,mean_2015_2019,188.8384,5,mean_2015_2019,10369.453719753405,5.0,mean_2015_2019,0,0.0,True,True
VUT,Vanuatu,East Asia & Pacific,Lower middle income,0.1566666666666667,3.0,mean_2016_2019,1.459,2.0,latest_pre2020_2019,,,,106.75862386729821,5.0,mean_2015_2019,1.764929484,5.0,mean_2015_2019,8.886196134,5.0,mean_2015_2019,51.0,5.0,mean_2015_2019,79.0,5.0,mean_2015_2019,84.2,5.0,mean_2015_2019,3.8786807007069806,5,mean_2015_2019,22.87020508613616,5.0,mean_2015_2019,70.49380000000001,5,mean_2015_2019,18.32,5.0,mean_2015_2019,139.4372,5,mean_2015_2019,201.426,5,mean_2015_2019,3443.084114638334,5.0,mean_2015_2019,1,0.06666666666666667,True,True
WSM,Samoa,East Asia & Pacific,Upper middle income,0.558,2.0,latest_pre2020_2019,3.232,2.0,latest_pre2020_2019,,,,337.7893154360369,5.0,mean_2015_2019,3.991808225999999,5.0,mean_2015_2019,11.606174275999999,5.0,mean_2015_2019,62.2,5.0,mean_2015_2019,70.6,5.0,mean_2015_2019,66.6,5.0,mean_2015_2019,4.985107985253336,5,mean_2015_2019,73.44586750387677,5.0,mean_2015_2019,70.875,5,mean_2015_2019,18.34,5.0,mean_2015_2019,149.92659999999998,5,mean_2015_2019,196.6446,5,mean_2015_2019,6815.449412264299,5.0,mean_2015_2019,1,0.06666666666666667,True,True
XKX,Kosovo,Europe & Central Asia,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.018719900577038,5,mean_2015_2019,,,,76.8486,5,mean_2015_2019,12.680000000000001,5.0,mean_2015_2019,56.5356,5,mean_2015_2019,100.2406,5,mean_2015_2019,10815.702481358258,5.0,mean_2015_2019,10,0.6666666666666666,False,False
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,,,,0.638,4.0,mean_2015_2018,,,,162.1207624758742,5.0,mean_2015_2019,0.5924117799999999,5.0,mean_2015_2019,83.138787842,5.0,mean_2015_2019,44.4,5.0,mean_2015_2019,57.2,5.0,mean_2015_2019,59.8,5.0,mean_2015_2019,2.62909501682753,5,mean_2015_2019,62.71413148474346,5.0,mean_2015_2019,66.6936,5,mean_2015_2019,47.62,5.0,mean_2015_2019,147.1322,5,mean_2015_2019,257.93680000000006,5,mean_2015_2019,,,,2,0.13333333333333333,True,True
ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,0.7624,5.0,mean_2015_2019,1.2258,5.0,mean_2015_2019,,,,1089.54683780512,5.0,mean_2015_2019,4.629027173999999,5.0,mean_2015_2019,5.788866231999999,5.0,mean_2015_2019,67.6,5.0,mean_2015_2019,83.0,5.0,mean_2015_2019,84.2,5.0,mean_2015_2019,5.638606281800749,5,mean_2015_2019,47.781967702313935,5.0,mean_2015_2019,65.20419999999999,5,mean_2015_2019,35.98,5.0,mean_2015_2019,254.5618,5,mean_2015_2019,369.0134,5,mean_2015_2019,14504.557033118059,5.0,mean_2015_2019,1,0.06666666666666667,True,True
ZMB,Zambia,Sub-Saharan Africa ,Lower middle income,0.18366666666666664,3.0,mean_2016_2019,1.197,3.0,mean_2017_2019,,,,169.859496430591,5.0,mean_2015_2019,2.132311938,5.0,mean_2015_2019,10.515796568000003,5.0,mean_2015_2019,54.0,5.0,mean_2015_2019,94.0,5.0,mean_2015_2019,91.4,5.0,mean_2015_2019,1.7576669001543501,5,mean_2015_2019,23.471459126434304,5.0,mean_2015_2019,61.6946,5,mean_2015_2019,56.14,5.0,mean_2015_2019,245.9764,5,mean_2015_2019,334.808,5,mean_2015_2019,3605.22538777374,5.0,mean_2015_2019,1,0.06666666666666667,True,True
ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,0.1698,5.0,mean_2015_2019,1.75525,4.0,mean_2015_2018,,,,150.87925048989013,5.0,mean_2015_2019,1.3062031260000002,5.0,mean_2015_2019,15.7727396,5.0,mean_2015_2019,53.6,5.0,mean_2015_2019,88.8,5.0,mean_2015_2019,89.0,5.0,mean_2015_2019,3.3828142093586377,5,mean_2015_2019,38.318526043686184,5.0,mean_2015_2019,60.1956,5,mean_2015_2019,57.660000000000004,5.0,mean_2015_2019,334.5914,5,mean_2015_2019,396.20980000000003,5,mean_2015_2019,5163.362792375157,5.0,mean_2015_2019,1,0.06666666666666667,True,True
