iso3,country,region,income_group,physicians_per_1000,physicians_per_1000_observed_years,physicians_per_1000_aggregation,nurses_midwives_per_1000,nurses_midwives_per_1000_observed_years,nurses_midwives_per_1000_aggregation,hospital_beds_per_1000,hospital_beds_per_1000_observed_years,hospital_beds_per_1000_aggregation,current_health_expenditure_per_capita_ppp,current_health_expenditure_per_capita_ppp_observed_years,current_health_expenditure_per_capita_ppp_aggregation,domestic_gov_health_expenditure_gdp,domestic_gov_health_expenditure_gdp_observed_years,domestic_gov_health_expenditure_gdp_aggregation,out_of_pocket_expenditure_share,out_of_pocket_expenditure_share_observed_years,out_of_pocket_expenditure_share_aggregation,uhc_service_coverage_index,uhc_service_coverage_index_observed_years,uhc_service_coverage_index_aggregation,measles_immunization_coverage,measles_immunization_coverage_observed_years,measles_immunization_coverage_aggregation,dpt_immunization_coverage,dpt_immunization_coverage_observed_years,dpt_immunization_coverage_aggregation,age65_share,age65_share_observed_years,age65_share_aggregation,population_density,population_density_observed_years,population_density_aggregation,life_expectancy,life_expectancy_observed_years,life_expectancy_aggregation,under5_mortality,under5_mortality_observed_years,under5_mortality_aggregation,adult_mortality_female,adult_mortality_female_observed_years,adult_mortality_female_aggregation,adult_mortality_male,adult_mortality_male_observed_years,adult_mortality_male_aggregation,gdp_per_capita_ppp,gdp_per_capita_ppp_observed_years,gdp_per_capita_ppp_aggregation,feature_missing_count,feature_missing_rate,primary_sample,extended_sample
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa ,Low income,,,,,,,0.8699999999999999,5.0,mean_2015_2019,39.56537529201904,5.0,mean_2015_2019,0.12630219,5.0,mean_2015_2019,42.077876284,5.0,mean_2015_2019,27.0,5.0,mean_2015_2019,51.6,5.0,mean_2015_2019,51.6,5.0,mean_2015_2019,2.45839817815477,5,mean_2015_2019,23.76886217999808,5.0,mean_2015_2019,54.909000000000006,5,mean_2015_2019,135.14,5.0,mean_2015_2019,270.46500000000003,5,mean_2015_2019,351.1157999999999,5,mean_2015_2019,1450.402932086598,5.0,mean_2015_2019,2,0.13333333333333333,True,True
SRB,Serbia,Europe & Central Asia,Upper middle income,2.968,4.0,mean_2015_2018,6.366,4.0,mean_2015_2018,5.581999999999999,5.0,mean_2015_2019,1444.292866647098,5.0,mean_2015_2019,4.762201976,5.0,mean_2015_2019,39.405246733999995,5.0,mean_2015_2019,68.8,5.0,mean_2015_2019,87.0,5.0,mean_2015_2019,95.4,5.0,mean_2015_2019,19.94549940116082,5,mean_2015_2019,80.27075691744797,5.0,mean_2015_2019,75.66829268292683,5,mean_2015_2019,5.9399999999999995,5.0,mean_2015_2019,77.2064,5,mean_2015_2019,148.4354,5,mean_2015_2019,19714.3887048283,5.0,mean_2015_2019,0,0.0,True,True
SSD,South Sudan,Sub-Saharan Africa ,Low income,0.033,2.0,latest_pre2020_2019,0.585,2.0,latest_pre2020_2019,,,,75.80234582402336,3.0,mean_2017_2019,1.34896974,3.0,mean_2017_2019,29.02861849333333,3.0,mean_2017_2019,34.4,5.0,mean_2015_2019,57.0,5.0,mean_2015_2019,52.6,5.0,mean_2015_2019,2.5531006693860343,5,mean_2015_2019,16.692727992024437,5.0,mean_2015_2019,44.3724,5,mean_2015_2019,207.22000000000003,5.0,mean_2015_2019,368.3848,5,mean_2015_2019,525.4464,5,mean_2015_2019,,,,1,0.06666666666666667,True,True
STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,0.492,2.0,latest_pre2020_2019,2.1013333333333333,3.0,mean_2015_2019,2.91,1.0,latest_pre2020_2019,240.31718490426903,5.0,mean_2015_2019,2.682204198,5.0,mean_2015_2019,15.499441719999998,5.0,mean_2015_2019,54.8,5.0,mean_2015_2019,93.2,5.0,mean_2015_2019,95.4,5.0,mean_2015_2019,3.6838273660992717,5,mean_2015_2019,215.52687500000002,5.0,mean_2015_2019,67.061,5,mean_2015_2019,19.9,5.0,mean_2015_2019,186.74020000000002,5,mean_2015_2019,310.04139999999995,5,mean_2015_2019,5499.34453333176,5.0,mean_2015_2019,0,0.0,True,True
SUR,Suriname,Latin America & Caribbean ,Upper middle income,1.00475,4.0,mean_2015_2018,2.4312,5.0,mean_2015_2019,2.8139999999999996,5.0,mean_2015_2019,1120.096748208566,5.0,mean_2015_2019,4.109318874,5.0,mean_2015_2019,20.875952148,5.0,mean_2015_2019,75.4,5.0,mean_2015_2019,73.8,5.0,mean_2015_2019,75.0,5.0,mean_2015_2019,6.428488819945097,5,mean_2015_2019,3.698738022452644,5.0,mean_2015_2019,71.2068,5,mean_2015_2019,19.5,5.0,mean_2015_2019,142.31920000000002,5,mean_2015_2019,228.6598,5,mean_2015_2019,22650.745438631515,5.0,mean_2015_2019,0,0.0,True,True
SVK,Slovak Republic,Europe & Central Asia,High income,3.489,5.0,mean_2015_2019,6.0342,5.0,mean_2015_2019,5.764,5.0,mean_2015_2019,2125.126954502344,5.0,mean_2015_2019,5.396273612,5.0,mean_2015_2019,18.62236061,5.0,mean_2015_2019,81.4,5.0,mean_2015_2019,95.6,5.0,mean_2015_2019,96.4,5.0,mean_2015_2019,15.19947491136148,5,mean_2015_2019,113.1219775112414,5.0,mean_2015_2019,77.16536585365853,5,mean_2015_2019,6.0200000000000005,5.0,mean_2015_2019,62.9572,5,mean_2015_2019,145.9622,5,mean_2015_2019,35269.93006923226,5.0,mean_2015_2019,0,0.0,True,True
SVN,Slovenia,Europe & Central Asia,High income,3.0822,5.0,mean_2015_2019,9.876,5.0,mean_2015_2019,4.482,5.0,mean_2015_2019,3087.139189293236,5.0,mean_2015_2019,6.099103832,5.0,mean_2015_2019,12.089012908,5.0,mean_2015_2019,82.8,5.0,mean_2015_2019,93.2,5.0,mean_2015_2019,94.2,5.0,mean_2015_2019,18.96898301389742,5,mean_2015_2019,102.85707733499301,5.0,mean_2015_2019,81.17756097560975,5,mean_2015_2019,2.48,5.0,mean_2015_2019,43.1216,5,mean_2015_2019,92.9026,5,mean_2015_2019,41563.6797613696,5.0,mean_2015_2019,0,0.0,True,True
SWE,Sweden,Europe & Central Asia,High income,4.2572,5.0,mean_2015_2019,11.682,5.0,mean_2015_2019,2.238,5.0,mean_2015_2019,5754.624246946287,5.0,mean_2015_2019,9.255864334,5.0,mean_2015_2019,14.409075546,5.0,mean_2015_2019,83.6,5.0,mean_2015_2019,97.2,5.0,mean_2015_2019,97.6,5.0,mean_2015_2019,19.81742587421048,5,mean_2015_2019,24.666600061754558,5.0,mean_2015_2019,82.51804878048782,5,mean_2015_2019,2.76,5.0,mean_2015_2019,38.9732,5,mean_2015_2019,62.875000000000014,5,mean_2015_2019,60396.72420983265,5.0,mean_2015_2019,0,0.0,True,True
SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,0.17033333333333334,3.0,mean_2016_2018,3.74625,4.0,mean_2015_2018,,,,636.8936129283618,5.0,mean_2015_2019,3.4285271639999997,5.0,mean_2015_2019,10.203007696,5.0,mean_2015_2019,67.8,5.0,mean_2015_2019,86.6,5.0,mean_2015_2019,90.0,5.0,mean_2015_2019,3.585869037007236,5,mean_2015_2019,67.43393023255815,5.0,mean_2015_2019,57.46,5,mean_2015_2019,53.48,5.0,mean_2015_2019,381.98400000000004,5,mean_2015_2019,495.9668,5,mean_2015_2019,9585.480065272293,5.0,mean_2015_2019,1,0.06666666666666667,True,True
SXM,Sint Maarten (Dutch part),Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.11414528652389,5,mean_2015_2019,1145.9588235294118,5.0,mean_2015_2019,75.7358,5,mean_2015_2019,,,,67.749,5,mean_2015_2019,117.4268,5,mean_2015_2019,47286.507277999925,5.0,mean_2015_2019,10,0.6666666666666666,False,False
