iso3,country,region,income_group,physicians_per_1000,physicians_per_1000_observed_years,physicians_per_1000_aggregation,nurses_midwives_per_1000,nurses_midwives_per_1000_observed_years,nurses_midwives_per_1000_aggregation,hospital_beds_per_1000,hospital_beds_per_1000_observed_years,hospital_beds_per_1000_aggregation,current_health_expenditure_per_capita_ppp,current_health_expenditure_per_capita_ppp_observed_years,current_health_expenditure_per_capita_ppp_aggregation,current_health_expenditure_gdp,current_health_expenditure_gdp_observed_years,current_health_expenditure_gdp_aggregation,domestic_gov_health_expenditure_gdp,domestic_gov_health_expenditure_gdp_observed_years,domestic_gov_health_expenditure_gdp_aggregation,measles_immunization_coverage,measles_immunization_coverage_observed_years,measles_immunization_coverage_aggregation,dpt_immunization_coverage,dpt_immunization_coverage_observed_years,dpt_immunization_coverage_aggregation,tuberculosis_incidence,tuberculosis_incidence_observed_years,tuberculosis_incidence_aggregation,hiv_prevalence,hiv_prevalence_observed_years,hiv_prevalence_aggregation,age65_share,age65_share_observed_years,age65_share_aggregation,population_density,population_density_observed_years,population_density_aggregation,urban_population_share,urban_population_share_observed_years,urban_population_share_aggregation,ncd_mortality_risk,ncd_mortality_risk_observed_years,ncd_mortality_risk_aggregation,air_pollution_pm25,air_pollution_pm25_observed_years,air_pollution_pm25_aggregation,life_expectancy,life_expectancy_observed_years,life_expectancy_aggregation,under5_mortality,under5_mortality_observed_years,under5_mortality_aggregation,adult_mortality_female,adult_mortality_female_observed_years,adult_mortality_female_aggregation,adult_mortality_male,adult_mortality_male_observed_years,adult_mortality_male_aggregation,uhc_service_coverage_index,uhc_service_coverage_index_observed_years,uhc_service_coverage_index_aggregation,domestic_gov_health_expenditure_share,domestic_gov_health_expenditure_share_observed_years,domestic_gov_health_expenditure_share_aggregation,out_of_pocket_expenditure_share,out_of_pocket_expenditure_share_observed_years,out_of_pocket_expenditure_share_aggregation,out_of_pocket_expenditure_per_capita_ppp,out_of_pocket_expenditure_per_capita_ppp_observed_years,out_of_pocket_expenditure_per_capita_ppp_aggregation,basic_sanitation_access,basic_sanitation_access_observed_years,basic_sanitation_access_aggregation,basic_drinking_water_access,basic_drinking_water_access_observed_years,basic_drinking_water_access_aggregation,basic_handwashing_access,basic_handwashing_access_observed_years,basic_handwashing_access_aggregation,diabetes_prevalence,diabetes_prevalence_observed_years,diabetes_prevalence_aggregation,gdp_per_capita_ppp,gdp_per_capita_ppp_observed_years,gdp_per_capita_ppp_aggregation,population_total,population_total_observed_years,population_total_aggregation,expanded_feature_missing_count,expanded_feature_missing_rate,expanded_primary_sample
USA,United States,North America,High income,3.482,2.0,latest_pre2020_2019,11.758000000000001,5.0,mean_2015_2019,2.75,5.0,mean_2015_2019,9857.968178676985,5.0,mean_2015_2019,16.557971192,5.0,mean_2015_2019,8.527435303999999,5.0,mean_2015_2019,91.4,5.0,mean_2015_2019,94.4,5.0,mean_2015_2019,3.06,5.0,mean_2015_2019,,,,14.96568969813176,5,mean_2015_2019,35.67197907169454,5.0,mean_2015_2019,80.37625349186168,5,mean_2015_2019,13.66,5.0,mean_2015_2019,7.677505152442739,5.0,mean_2015_2019,78.6390243902439,5,mean_2015_2019,6.62,5.0,mean_2015_2019,80.912,5,mean_2015_2019,137.27519999999998,5,mean_2015_2019,87.0,5.0,mean_2015_2019,51.501025389999995,5.0,mean_2015_2019,11.47162075,5.0,mean_2015_2019,1130.084340232292,5.0,mean_2015_2019,99.72286396423505,5.0,mean_2015_2019,99.58815802494391,5.0,mean_2015_2019,,,,,,,66473.01028986018,5.0,mean_2015_2019,326306574.8,5,mean_2015_2019,2,0.07692307692307693,True
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,2.3164000000000002,5.0,mean_2015_2019,10.61,2.0,latest_pre2020_2019,4.417999999999999,5.0,mean_2015_2019,353.6675260202366,5.0,mean_2015_2019,4.629544353999999,5.0,mean_2015_2019,1.9899153479999998,5.0,mean_2015_2019,98.2,5.0,mean_2015_2019,98.2,5.0,mean_2015_2019,73.0,5.0,mean_2015_2019,,,,4.953731286246883,5,mean_2015_2019,72.26378168347307,5.0,mean_2015_2019,50.633839416503925,5,mean_2015_2019,29.8,5.0,mean_2015_2019,35.91292034128832,5.0,mean_2015_2019,71.7478,5,mean_2015_2019,17.499999999999996,5.0,mean_2015_2019,121.26599999999999,5,mean_2015_2019,206.06640000000002,5,mean_2015_2019,78.4,5.0,mean_2015_2019,42.925299838,5.0,mean_2015_2019,55.557495118000006,5.0,mean_2015_2019,197.36219141118738,5.0,mean_2015_2019,95.69403987892721,5.0,mean_2015_2019,94.8146069155158,5.0,mean_2015_2019,81.6222244715198,2.0,latest_pre2020_2019,,,,8104.176423403913,5.0,mean_2015_2019,31838256.6,5,mean_2015_2019,1,0.038461538461538464,True
VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,,,,8.070250000000001,4.0,mean_2015_2018,4.293333333333334,3.0,mean_2015_2019,582.8421709196978,5.0,mean_2015_2019,4.191893478,5.0,mean_2015_2019,2.695756388,5.0,mean_2015_2019,99.0,5.0,mean_2015_2019,98.2,5.0,mean_2015_2019,4.7,5.0,mean_2015_2019,0.96,5.0,mean_2015_2019,10.002330069608375,5,mean_2015_2019,270.8025641025642,5.0,mean_2015_2019,46.93983784392958,5,mean_2015_2019,22.22,5.0,mean_2015_2019,23.75883746938614,5.0,mean_2015_2019,70.8374,5,mean_2015_2019,15.819999999999999,5.0,mean_2015_2019,139.81239999999997,5,mean_2015_2019,223.7538,5,mean_2015_2019,78.4,5.0,mean_2015_2019,64.279565432,5.0,mean_2015_2019,31.411157608000003,5.0,mean_2015_2019,182.12913533694524,5.0,mean_2015_2019,89.65791340657582,4.0,mean_2015_2018,97.71956442721397,4.0,mean_2015_2018,,,,,,,15548.844433408882,5.0,mean_2015_2019,105613.0,5,mean_2015_2019,2,0.07692307692307693,True
VEN,"Venezuela, RB",Latin America & Caribbean ,Not classified,1.664,1.0,latest_pre2020_2017,2.003,2.0,latest_pre2020_2018,0.9119999999999999,5.0,mean_2015_2019,79.0201669439367,1.0,latest_pre2020_2019,2.18563724,2.0,latest_pre2020_2019,0.81175309,2.0,latest_pre2020_2019,88.6,5.0,mean_2015_2019,72.2,5.0,mean_2015_2019,42.4,5.0,mean_2015_2019,0.5,5.0,mean_2015_2019,7.102659638475896,5,mean_2015_2019,34.15922113258886,5.0,mean_2015_2019,89.0286339199493,5,mean_2015_2019,17.580000000000002,5.0,mean_2015_2019,17.683125017146182,5.0,mean_2015_2019,72.4632,5,mean_2015_2019,23.18,5.0,mean_2015_2019,104.43199999999999,5,mean_2015_2019,221.5746,5,mean_2015_2019,76.4,5.0,mean_2015_2019,37.1403389,2.0,latest_pre2020_2019,34.12151718,2.0,latest_pre2020_2019,26.9628809916948,1.0,latest_pre2020_2019,95.66912534586524,5.0,mean_2015_2019,94.21708528921747,5.0,mean_2015_2019,,,,,,,,,,30130141.0,5,mean_2015_2019,1,0.038461538461538464,True
VGB,British Virgin Islands,Latin America & Caribbean ,High income,,,,8.94975,4.0,mean_2015_2018,,,,,,,,,,,,,,,,,,,1.3199999999999998,5.0,mean_2015_2019,,,,7.51024577837151,5,mean_2015_2019,229.5026666666666,5.0,mean_2015_2019,50.91697330904568,5,mean_2015_2019,,,,,,,76.48500000000001,5,mean_2015_2019,14.88,5.0,mean_2015_2019,55.24679999999999,5,mean_2015_2019,106.48440000000001,5,mean_2015_2019,,,,,,,,,,,,,96.8579794836767,2.0,latest_pre2020_2016,99.8643835616439,5.0,mean_2015_2019,,,,,,,,,,34425.4,5,mean_2015_2019,15,0.5769230769230769,False
VIR,Virgin Islands (U.S.),Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.90820761911494,5,mean_2015_2019,306.3879999999998,5.0,mean_2015_2019,95.02510928898981,5,mean_2015_2019,,,,8.141850381868796,5.0,mean_2015_2019,79.34829268292681,5,mean_2015_2019,,,,59.4126,5,mean_2015_2019,191.50600000000003,5,mean_2015_2019,,,,,,,,,,,,,99.20903724379119,5.0,mean_2015_2019,99.24561707638267,5.0,mean_2015_2019,,,,,,,43871.34309056333,5.0,mean_2015_2019,107235.8,5,mean_2015_2019,17,0.6538461538461539,False
VNM,Viet Nam,East Asia & Pacific,Lower middle income,0.8727500000000001,4.0,mean_2015_2019,1.441,2.0,latest_pre2020_2016,2.5,3.0,mean_2015_2017,455.728258324598,5.0,mean_2015_2019,4.914473436,5.0,mean_2015_2019,2.094538022,5.0,mean_2015_2019,97.0,5.0,mean_2015_2019,90.2,5.0,mean_2015_2019,187.6,5.0,mean_2015_2019,0.45999999999999996,5.0,mean_2015_2019,6.811828366232129,5,mean_2015_2019,303.38326182349795,5.0,mean_2015_2019,33.4312492095096,5,mean_2015_2019,21.16,5.0,mean_2015_2019,19.856408790554518,5.0,mean_2015_2019,74.05519999999999,5,mean_2015_2019,20.860000000000003,5.0,mean_2015_2019,76.67519999999999,5,mean_2015_2019,188.8384,5,mean_2015_2019,70.6,5.0,mean_2015_2019,42.63640899599999,5.0,mean_2015_2019,43.154988098000004,5.0,mean_2015_2019,197.5323464949488,5.0,mean_2015_2019,82.83577740366172,5.0,mean_2015_2019,93.95607883740993,5.0,mean_2015_2019,87.10488546011216,5.0,mean_2015_2019,,,,10369.453719753405,5.0,mean_2015_2019,95082288.6,5,mean_2015_2019,0,0.0,True
VUT,Vanuatu,East Asia & Pacific,Lower middle income,0.1566666666666667,3.0,mean_2016_2019,1.459,2.0,latest_pre2020_2019,,,,106.75862386729821,5.0,mean_2015_2019,3.3930356500000003,5.0,mean_2015_2019,1.764929484,5.0,mean_2015_2019,79.0,5.0,mean_2015_2019,84.2,5.0,mean_2015_2019,68.2,5.0,mean_2015_2019,0.1,5.0,mean_2015_2019,3.8786807007069806,5,mean_2015_2019,22.87020508613616,5.0,mean_2015_2019,24.4536131765133,5,mean_2015_2019,37.260000000000005,5.0,mean_2015_2019,13.99790712051844,5.0,mean_2015_2019,70.49380000000001,5,mean_2015_2019,18.32,5.0,mean_2015_2019,139.4372,5,mean_2015_2019,201.426,5,mean_2015_2019,51.0,5.0,mean_2015_2019,51.888462832,5.0,mean_2015_2019,8.886196134,5.0,mean_2015_2019,9.317915931205892,5.0,mean_2015_2019,50.45357184713786,5.0,mean_2015_2019,86.67234898534517,5.0,mean_2015_2019,44.616137643147525,5.0,mean_2015_2019,,,,3443.084114638334,5.0,mean_2015_2019,278787.8,5,mean_2015_2019,1,0.038461538461538464,True
WSM,Samoa,East Asia & Pacific,Upper middle income,0.558,2.0,latest_pre2020_2019,3.232,2.0,latest_pre2020_2019,,,,337.7893154360369,5.0,mean_2015_2019,5.447824477999999,5.0,mean_2015_2019,3.991808225999999,5.0,mean_2015_2019,70.6,5.0,mean_2015_2019,66.6,5.0,mean_2015_2019,8.940000000000001,5.0,mean_2015_2019,,,,4.985107985253336,5,mean_2015_2019,73.44586750387677,5.0,mean_2015_2019,18.893010666952442,5,mean_2015_2019,32.22,5.0,mean_2015_2019,12.543748273045562,5.0,mean_2015_2019,70.875,5,mean_2015_2019,18.34,5.0,mean_2015_2019,149.92659999999998,5,mean_2015_2019,196.6446,5,mean_2015_2019,62.2,5.0,mean_2015_2019,73.489955138,5.0,mean_2015_2019,11.606174275999999,5.0,mean_2015_2019,39.04761688824106,5.0,mean_2015_2019,95.2982889291452,5.0,mean_2015_2019,93.65613609483434,5.0,mean_2015_2019,64.88596306654264,4.0,mean_2016_2019,,,,6815.449412264299,5.0,mean_2015_2019,205611.6,5,mean_2015_2019,2,0.07692307692307693,True
XKX,Kosovo,Europe & Central Asia,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.018719900577038,5,mean_2015_2019,,,,41.858377856948444,5,mean_2015_2019,,,,,,,76.8486,5,mean_2015_2019,12.680000000000001,5.0,mean_2015_2019,56.5356,5,mean_2015_2019,100.2406,5,mean_2015_2019,,,,,,,,,,,,,,,,,,,,,,,,,10815.702481358258,5.0,mean_2015_2019,1788567.6,5,mean_2015_2019,20,0.7692307692307693,False
