iso3,country,model_version,observed_shock_burden,predicted_shock_burden,residual_observed_minus_expected,n_model_sample,n_candidate_validation_countries,missing_count_due_to_model_covariates,missing_rate_due_to_model_covariates,cv_rmse,prediction_interval_low,prediction_interval_high
ECU,Ecuador,linear,4378.3784,2640.169534777064,1738.2088652229354,106,108,2,0.01851851851851849,1762.1407668753022,,
BIH,Bosnia and Herzegovina,linear,7126.2676,6326.800289152827,799.4673108471734,106,108,2,0.01851851851851849,1762.1407668753022,,
PSE,West Bank and Gaza,linear,922.9372,1423.7860252155274,-500.8488252155274,106,108,2,0.01851851851851849,1762.1407668753022,,
BRB,Barbados,linear,1115.5847,3045.4877293703867,-1929.9030293703865,106,108,2,0.01851851851851849,1762.1407668753022,,
THA,Thailand,linear,2082.8452,2353.00675139777,-270.1615513977699,106,108,2,0.01851851851851849,1762.1407668753022,,
MDA,Moldova,linear,5433.009,5904.456748332752,-471.44774833275187,106,108,2,0.01851851851851849,1762.1407668753022,,
PAN,Panama,linear,1724.4185,1551.7787504592752,172.63974954072478,106,108,2,0.01851851851851849,1762.1407668753022,,
GEO,Georgia,linear,6951.208,6059.660261705818,891.5477382941817,106,108,2,0.01851851851851849,1762.1407668753022,,
KGZ,Kyrgyz Republic,linear,2132.5605,2865.585753115087,-733.0252531150868,106,108,2,0.01851851851851849,1762.1407668753022,,
DZA,Algeria,linear,2952.565,3686.5307735645433,-733.9657735645433,106,108,2,0.01851851851851849,1762.1407668753022,,
SLV,El Salvador,linear,753.09076,3514.4103576761927,-2761.3195976761926,106,108,2,0.01851851851851849,1762.1407668753022,,
MNE,Montenegro,linear,5335.1875,5936.298354935288,-601.1108549352884,106,108,2,0.01851851851851849,1762.1407668753022,,
BLZ,Belize,linear,1799.2277,3019.1984844909357,-1219.9707844909358,106,108,2,0.01851851851851849,1762.1407668753022,,
MYS,Malaysia,linear,1283.0078,1512.6141439245132,-229.6063439245131,106,108,2,0.01851851851851849,1762.1407668753022,,
TJK,Tajikistan,linear,1522.2467,2610.451691090245,-1088.204991090245,106,108,2,0.01851851851851849,1762.1407668753022,,
MUS,Mauritius,linear,1459.971,1244.6687848789118,215.30221512108824,106,108,2,0.01851851851851849,1762.1407668753022,,
ARM,Armenia,linear,8041.9443,5634.890679928689,2407.0536200713113,106,108,2,0.01851851851851849,1762.1407668753022,,
MEX,Mexico,linear,5406.9375,3329.8552596658283,2077.0822403341717,106,108,2,0.01851851851851849,1762.1407668753022,,
BHS,"Bahamas, The",linear,2630.4177,3388.7570455881573,-758.3393455881574,106,108,2,0.01851851851851849,1762.1407668753022,,
BTN,Bhutan,linear,302.12527,1630.7862308899887,-1328.6609608899887,106,108,2,0.01851851851851849,1762.1407668753022,,
JAM,Jamaica,linear,2040.6863,3382.3544214811336,-1341.6681214811335,106,108,2,0.01851851851851849,1762.1407668753022,,
LBN,Lebanon,linear,2354.6365,2060.510076445465,294.126423554535,106,108,2,0.01851851851851849,1762.1407668753022,,
PRY,Paraguay,linear,4178.656,3420.660205073557,757.9957949264431,106,108,2,0.01851851851851849,1762.1407668753022,,
FJI,Fiji,linear,2112.3386,3014.853556420102,-902.514956420102,106,108,2,0.01851851851851849,1762.1407668753022,,
PER,Peru,linear,5901.3433,4070.001037503018,1831.3422624969826,106,108,2,0.01851851851851849,1762.1407668753022,,
CPV,Cabo Verde,linear,1312.6262,1263.9960388195832,48.630161180416735,106,108,2,0.01851851851851849,1762.1407668753022,,
MNG,Mongolia,linear,211.21863,3499.5663744884146,-3288.3477444884147,106,108,2,0.01851851851851849,1762.1407668753022,,
SUR,Suriname,linear,3481.618,4789.787173550809,-1308.1691735508089,106,108,2,0.01851851851851849,1762.1407668753022,,
EGY,"Egypt, Arab Rep.",linear,2995.015,2940.9378973328894,54.077102667110466,106,108,2,0.01851851851851849,1762.1407668753022,,
AZE,Azerbaijan,linear,3777.4768,5045.786810408004,-1268.3100104080045,106,108,2,0.01851851851851849,1762.1407668753022,,
UKR,Ukraine,linear,4533.1055,7389.044973451713,-2855.9394734517136,106,108,2,0.01851851851851849,1762.1407668753022,,
DOM,Dominican Republic,linear,907.20123,3881.2534902664256,-2974.0522602664255,106,108,2,0.01851851851851849,1762.1407668753022,,
BOL,Bolivia,linear,5224.8447,2895.9819930494873,2328.8627069505123,106,108,2,0.01851851851851849,1762.1407668753022,,
GTM,Guatemala,linear,2760.5828,3866.195729986717,-1105.612929986717,106,108,2,0.01851851851851849,1762.1407668753022,,
PHL,Philippines,linear,2245.3413,1793.0732341147766,452.26806588522345,106,108,2,0.01851851851851849,1762.1407668753022,,
ZAF,South Africa,linear,4671.983,4026.3306413996324,645.6523586003677,106,108,2,0.01851851851851849,1762.1407668753022,,
NAM,Namibia,linear,1225.8562,2665.21768228331,-1439.36148228331,106,108,2,0.01851851851851849,1762.1407668753022,,
NOR,Norway,ridge,1072.0009,2489.43297920569,-1417.4320792056901,106,108,2,0.01851851851851849,1764.982016555163,1827.6871113250568,3176.808882821159
DEU,Germany,ridge,2179.8662,3168.4079074236597,-988.5417074236598,106,108,2,0.01851851851851849,1764.982016555163,2411.9721279011255,3844.625455066008
SWE,Sweden,ridge,1389.8391,3136.7813567587964,-1746.9422567587965,106,108,2,0.01851851851851849,1764.982016555163,2518.2612958847003,3693.2076464021334
JPN,Japan,ridge,859.7607,3114.2401415601903,-2254.47944156019,106,108,2,0.01851851851851849,1764.982016555163,2083.5519460314563,4224.538661120744
FRA,France,ridge,1838.9587,3022.6706781782536,-1183.7119781782537,106,108,2,0.01851851851851849,1764.982016555163,2419.9600057421703,3581.397078332704
AUS,Australia,ridge,927.5937,1794.7921784411287,-867.1984784411287,106,108,2,0.01851851851851849,1764.982016555163,1056.3600007967743,2680.7335845422663
DNK,Denmark,ridge,674.96173,2984.4210130255883,-2309.4592830255883,106,108,2,0.01851851851851849,1764.982016555163,2323.0252467466257,3510.213270554453
BEL,Belgium,ridge,2334.5127,2927.5877931260566,-593.0750931260563,106,108,2,0.01851851851851849,1764.982016555163,2177.1861940923927,3539.195233266099
AUT,Austria,ridge,2567.4924,2765.756093019986,-198.26369301998602,106,108,2,0.01851851851851849,1764.982016555163,2231.568651325123,3291.797329070057
ISL,Iceland,ridge,1134.6113,2761.7517687546424,-1627.1404687546424,106,108,2,0.01851851851851849,1764.982016555163,1997.4586952297761,3621.4879121977588
FIN,Finland,ridge,1876.0293,3636.311748378223,-1760.282448378223,106,108,2,0.01851851851851849,1764.982016555163,2995.396714422163,4264.0536153779485
LUX,Luxembourg,ridge,-259.57343,1796.0006700275108,-2055.5741000275107,106,108,2,0.01851851851851849,1764.982016555163,1107.8023276077533,2403.443224656804
CZE,Czechia,ridge,4400.776,3394.2052132099575,1006.5707867900423,106,108,2,0.01851851851851849,1764.982016555163,2770.021007696377,3982.132747267722
USA,United States,ridge,3758.817,1804.0498317086053,1954.7671682913947,106,108,2,0.01851851851851849,1764.982016555163,1099.4812680099024,2571.6518608408987
SVN,Slovenia,ridge,2868.0425,3115.6763031045675,-247.6338031045675,106,108,2,0.01851851851851849,1764.982016555163,2587.8873310052027,3670.24024783247
NZL,New Zealand,ridge,-91.14247,1665.3184336941083,-1756.4609036941083,106,108,2,0.01851851851851849,1764.982016555163,1140.2115501721544,2242.3345769928437
CHE,Switzerland,ridge,2020.4288,2650.108662849276,-629.6798628492759,106,108,2,0.01851851851851849,1764.982016555163,2014.5107854742544,3232.4919434448957
IRL,Ireland,ridge,1580.8341,1868.1496445102425,-287.3155445102425,106,108,2,0.01851851851851849,1764.982016555163,1148.4835372792256,2523.9423576817603
