iso3,country,profile,profile_probability,n_bootstrap,coverage_count,missing_count,missing_rate
NLD,Netherlands,capacity under-realizers,0.003,1000,106,0,0.0
NLD,Netherlands,adaptive over-performers,0.0,1000,106,0,0.0
NLD,Netherlands,structurally vulnerable systems,0.0,1000,106,0,0.0
NLD,Netherlands,uncertain / data-limited systems,0.0,1000,106,0,0.0
MDV,Maldives,effective converters,0.025,1000,106,0,0.0
MDV,Maldives,capacity under-realizers,0.975,1000,106,0,0.0
MDV,Maldives,adaptive over-performers,0.0,1000,106,0,0.0
MDV,Maldives,structurally vulnerable systems,0.0,1000,106,0,0.0
MDV,Maldives,uncertain / data-limited systems,0.0,1000,106,0,0.0
GBR,United Kingdom,effective converters,0.0,1000,106,0,0.0
GBR,United Kingdom,capacity under-realizers,1.0,1000,106,0,0.0
GBR,United Kingdom,adaptive over-performers,0.0,1000,106,0,0.0
GBR,United Kingdom,structurally vulnerable systems,0.0,1000,106,0,0.0
GBR,United Kingdom,uncertain / data-limited systems,0.0,1000,106,0,0.0
ESP,Spain,effective converters,0.0,1000,106,0,0.0
ESP,Spain,capacity under-realizers,1.0,1000,106,0,0.0
ESP,Spain,adaptive over-performers,0.0,1000,106,0,0.0
ESP,Spain,structurally vulnerable systems,0.0,1000,106,0,0.0
ESP,Spain,uncertain / data-limited systems,0.0,1000,106,0,0.0
SVK,Slovak Republic,effective converters,0.0,1000,106,0,0.0
SVK,Slovak Republic,capacity under-realizers,1.0,1000,106,0,0.0
SVK,Slovak Republic,adaptive over-performers,0.0,1000,106,0,0.0
SVK,Slovak Republic,structurally vulnerable systems,0.0,1000,106,0,0.0
SVK,Slovak Republic,uncertain / data-limited systems,0.0,1000,106,0,0.0
PRT,Portugal,effective converters,0.0,1000,106,0,0.0
PRT,Portugal,capacity under-realizers,1.0,1000,106,0,0.0
PRT,Portugal,adaptive over-performers,0.0,1000,106,0,0.0
PRT,Portugal,structurally vulnerable systems,0.0,1000,106,0,0.0
PRT,Portugal,uncertain / data-limited systems,0.0,1000,106,0,0.0
HRV,Croatia,effective converters,0.0,1000,106,0,0.0
HRV,Croatia,capacity under-realizers,1.0,1000,106,0,0.0
HRV,Croatia,adaptive over-performers,0.0,1000,106,0,0.0
HRV,Croatia,structurally vulnerable systems,0.0,1000,106,0,0.0
HRV,Croatia,uncertain / data-limited systems,0.0,1000,106,0,0.0
AND,Andorra,effective converters,1.0,1000,106,0,0.0
AND,Andorra,capacity under-realizers,0.0,1000,106,0,0.0
AND,Andorra,adaptive over-performers,0.0,1000,106,0,0.0
AND,Andorra,structurally vulnerable systems,0.0,1000,106,0,0.0
AND,Andorra,uncertain / data-limited systems,0.0,1000,106,0,0.0
ITA,Italy,effective converters,0.0,1000,106,0,0.0
ITA,Italy,capacity under-realizers,1.0,1000,106,0,0.0
ITA,Italy,adaptive over-performers,0.0,1000,106,0,0.0
ITA,Italy,structurally vulnerable systems,0.0,1000,106,0,0.0
ITA,Italy,uncertain / data-limited systems,0.0,1000,106,0,0.0
URY,Uruguay,effective converters,0.993,1000,106,0,0.0
URY,Uruguay,capacity under-realizers,0.007,1000,106,0,0.0
URY,Uruguay,adaptive over-performers,0.0,1000,106,0,0.0
URY,Uruguay,structurally vulnerable systems,0.0,1000,106,0,0.0
URY,Uruguay,uncertain / data-limited systems,0.0,1000,106,0,0.0
BLR,Belarus,effective converters,0.0,1000,106,0,0.0
BLR,Belarus,capacity under-realizers,1.0,1000,106,0,0.0
BLR,Belarus,adaptive over-performers,0.0,1000,106,0,0.0
BLR,Belarus,structurally vulnerable systems,0.0,1000,106,0,0.0
BLR,Belarus,uncertain / data-limited systems,0.0,1000,106,0,0.0
QAT,Qatar,effective converters,0.043,1000,106,0,0.0
QAT,Qatar,capacity under-realizers,0.957,1000,106,0,0.0
QAT,Qatar,adaptive over-performers,0.0,1000,106,0,0.0
QAT,Qatar,structurally vulnerable systems,0.0,1000,106,0,0.0
QAT,Qatar,uncertain / data-limited systems,0.0,1000,106,0,0.0
ISR,Israel,effective converters,0.563,1000,106,0,0.0
ISR,Israel,capacity under-realizers,0.437,1000,106,0,0.0
ISR,Israel,adaptive over-performers,0.0,1000,106,0,0.0
ISR,Israel,structurally vulnerable systems,0.0,1000,106,0,0.0
ISR,Israel,uncertain / data-limited systems,0.0,1000,106,0,0.0
MLT,Malta,effective converters,0.0,1000,106,0,0.0
MLT,Malta,capacity under-realizers,0.0,1000,106,0,0.0
MLT,Malta,adaptive over-performers,0.0,1000,106,0,0.0
MLT,Malta,structurally vulnerable systems,0.0,1000,106,0,0.0
MLT,Malta,uncertain / data-limited systems,1.0,1000,106,0,0.0
HUN,Hungary,effective converters,0.0,1000,106,0,0.0
HUN,Hungary,capacity under-realizers,1.0,1000,106,0,0.0
HUN,Hungary,adaptive over-performers,0.0,1000,106,0,0.0
HUN,Hungary,structurally vulnerable systems,0.0,1000,106,0,0.0
HUN,Hungary,uncertain / data-limited systems,0.0,1000,106,0,0.0
ARG,Argentina,effective converters,0.0,1000,106,0,0.0
ARG,Argentina,capacity under-realizers,1.0,1000,106,0,0.0
ARG,Argentina,adaptive over-performers,0.0,1000,106,0,0.0
ARG,Argentina,structurally vulnerable systems,0.0,1000,106,0,0.0
ARG,Argentina,uncertain / data-limited systems,0.0,1000,106,0,0.0
ARE,United Arab Emirates,effective converters,0.02,1000,106,0,0.0
ARE,United Arab Emirates,capacity under-realizers,0.98,1000,106,0,0.0
ARE,United Arab Emirates,adaptive over-performers,0.0,1000,106,0,0.0
ARE,United Arab Emirates,structurally vulnerable systems,0.0,1000,106,0,0.0
ARE,United Arab Emirates,uncertain / data-limited systems,0.0,1000,106,0,0.0
KWT,Kuwait,effective converters,0.0,1000,106,0,0.0
KWT,Kuwait,capacity under-realizers,1.0,1000,106,0,0.0
KWT,Kuwait,adaptive over-performers,0.0,1000,106,0,0.0
KWT,Kuwait,structurally vulnerable systems,0.0,1000,106,0,0.0
KWT,Kuwait,uncertain / data-limited systems,0.0,1000,106,0,0.0
POL,Poland,effective converters,0.0,1000,106,0,0.0
POL,Poland,capacity under-realizers,1.0,1000,106,0,0.0
POL,Poland,adaptive over-performers,0.0,1000,106,0,0.0
POL,Poland,structurally vulnerable systems,0.0,1000,106,0,0.0
POL,Poland,uncertain / data-limited systems,0.0,1000,106,0,0.0
GRC,Greece,effective converters,0.0,1000,106,0,0.0
GRC,Greece,capacity under-realizers,0.0,1000,106,0,0.0
GRC,Greece,adaptive over-performers,0.0,1000,106,0,0.0
GRC,Greece,structurally vulnerable systems,0.0,1000,106,0,0.0
GRC,Greece,uncertain / data-limited systems,1.0,1000,106,0,0.0
OMN,Oman,effective converters,0.0,1000,106,0,0.0
OMN,Oman,capacity under-realizers,0.0,1000,106,0,0.0
OMN,Oman,adaptive over-performers,0.0,1000,106,0,0.0
OMN,Oman,structurally vulnerable systems,0.0,1000,106,0,0.0
OMN,Oman,uncertain / data-limited systems,1.0,1000,106,0,0.0
CRI,Costa Rica,effective converters,0.0,1000,106,0,0.0
CRI,Costa Rica,capacity under-realizers,0.0,1000,106,0,0.0
CRI,Costa Rica,adaptive over-performers,0.0,1000,106,0,0.0
