iso3,country,observed_shock_burden,predicted_shock_burden,realized_resilience_gap,gap_interpretation,prediction_interval_low,prediction_interval_high,n_validation_countries,missing_count_from_potential_capacity_sample,missing_rate_from_potential_capacity_sample
POL,Poland,4447.032,3667.629509298451,779.4024907015491,worse-than-expected shock burden / capacity under-realization,3168.310155666893,4146.700787085948,106,87,0.4507772020725389
GRC,Greece,3676.7937,4266.202404657772,-589.4087046577715,better-than-expected shock burden / adaptive over-performance,3618.3353956070046,4897.487940549287,106,87,0.4507772020725389
OMN,Oman,958.591,981.3805867990079,-22.789586799007907,better-than-expected shock burden / adaptive over-performance,245.51752482087377,1830.4034522429688,106,87,0.4507772020725389
CRI,Costa Rica,1545.6193,1349.6692901299089,195.9500098700912,worse-than-expected shock burden / capacity under-realization,548.6932538982553,1999.554288350701,106,87,0.4507772020725389
BRN,Brunei Darussalam,1141.6431,229.10230933067328,912.5407906693267,worse-than-expected shock burden / capacity under-realization,-454.4603084996207,909.6025578514793,106,87,0.4507772020725389
EST,Estonia,3296.8997,4306.840884248152,-1009.9411842481522,better-than-expected shock burden / adaptive over-performance,3723.880366686908,5023.389410813249,106,87,0.4507772020725389
KOR,"Korea, Rep.",1248.7174,1656.5742160619966,-407.8568160619966,better-than-expected shock burden / adaptive over-performance,1149.2295615684438,2168.066426971562,106,87,0.4507772020725389
LTU,Lithuania,8358.042,4641.0810579965655,3716.960942003434,worse-than-expected shock burden / capacity under-realization,3816.359477760267,5478.688888076791,106,87,0.4507772020725389
ATG,Antigua and Barbuda,-654.30273,1199.8263277701963,-1854.1290577701961,better-than-expected shock burden / adaptive over-performance,347.88278220932574,1882.6074258171438,106,87,0.4507772020725389
COL,Colombia,3685.9177,2429.738410504582,1256.1792894954178,worse-than-expected shock burden / capacity under-realization,1653.8577631235353,3056.343845009856,106,87,0.4507772020725389
KAZ,Kazakhstan,4240.0146,4081.399851620132,158.61474837986862,worse-than-expected shock burden / capacity under-realization,2917.459028050631,5465.972366411584,106,87,0.4507772020725389
