iso3,country,bottleneck_block,bottleneck_probability,n_simulations,coverage_count,missing_count,missing_rate
ITA,Italy,preparedness,0.0,1000,106,0,0.0
ITA,Italy,vulnerability,0.002,1000,106,0,0.0
ITA,Italy,equity_access,0.003,1000,106,0,0.0
URY,Uruguay,capacity,0.989,1000,106,0,0.0
URY,Uruguay,preparedness,0.0,1000,106,0,0.0
URY,Uruguay,vulnerability,0.011,1000,106,0,0.0
URY,Uruguay,equity_access,0.0,1000,106,0,0.0
BLR,Belarus,capacity,0.116,1000,106,0,0.0
BLR,Belarus,preparedness,0.0,1000,106,0,0.0
BLR,Belarus,vulnerability,0.884,1000,106,0,0.0
BLR,Belarus,equity_access,0.0,1000,106,0,0.0
QAT,Qatar,capacity,1.0,1000,106,0,0.0
QAT,Qatar,preparedness,0.0,1000,106,0,0.0
QAT,Qatar,vulnerability,0.0,1000,106,0,0.0
QAT,Qatar,equity_access,0.0,1000,106,0,0.0
ISR,Israel,capacity,1.0,1000,106,0,0.0
ISR,Israel,preparedness,0.0,1000,106,0,0.0
ISR,Israel,vulnerability,0.0,1000,106,0,0.0
ISR,Israel,equity_access,0.0,1000,106,0,0.0
MLT,Malta,capacity,0.072,1000,106,0,0.0
MLT,Malta,preparedness,0.0,1000,106,0,0.0
MLT,Malta,vulnerability,0.75,1000,106,0,0.0
MLT,Malta,equity_access,0.178,1000,106,0,0.0
HUN,Hungary,capacity,0.849,1000,106,0,0.0
HUN,Hungary,preparedness,0.0,1000,106,0,0.0
HUN,Hungary,vulnerability,0.151,1000,106,0,0.0
HUN,Hungary,equity_access,0.0,1000,106,0,0.0
ARG,Argentina,capacity,0.91,1000,106,0,0.0
ARG,Argentina,preparedness,0.0,1000,106,0,0.0
ARG,Argentina,vulnerability,0.09,1000,106,0,0.0
ARG,Argentina,equity_access,0.0,1000,106,0,0.0
ARE,United Arab Emirates,capacity,1.0,1000,106,0,0.0
ARE,United Arab Emirates,preparedness,0.0,1000,106,0,0.0
ARE,United Arab Emirates,vulnerability,0.0,1000,106,0,0.0
ARE,United Arab Emirates,equity_access,0.0,1000,106,0,0.0
KWT,Kuwait,capacity,1.0,1000,106,0,0.0
KWT,Kuwait,preparedness,0.0,1000,106,0,0.0
KWT,Kuwait,vulnerability,0.0,1000,106,0,0.0
KWT,Kuwait,equity_access,0.0,1000,106,0,0.0
