iso3,country,conversion_profile,peer_group_type,peer_group_value,block,country_block_score,peer_median_block_score,block_gap_country_minus_peer,negative_gap_is_bottleneck,n_peer_countries,n_validation_countries,expanded_feature_missing_rate
DOM,Dominican Republic,adaptive over-performers,same_income_group,Upper middle income,preparedness,0.7568322344837783,0.8513215977301716,-0.09448936324639323,True,37,106,0.0
DOM,Dominican Republic,adaptive over-performers,same_region,Latin America & Caribbean ,preparedness,0.7568322344837783,0.8582841003558341,-0.10145186587205579,True,24,106,0.0
DOM,Dominican Republic,adaptive over-performers,same_capacity_quartile,Q1_low_capacity,preparedness,0.7568322344837783,0.8258192258773593,-0.068986991393581,True,27,106,0.0
DOM,Dominican Republic,adaptive over-performers,same_income_group,Upper middle income,vulnerability,0.6245700681687736,0.681467035750128,-0.05689696758135443,True,37,106,0.0
DOM,Dominican Republic,adaptive over-performers,same_region,Latin America & Caribbean ,vulnerability,0.6245700681687736,0.698661570294468,-0.07409150212569438,True,24,106,0.0
DOM,Dominican Republic,adaptive over-performers,same_capacity_quartile,Q1_low_capacity,vulnerability,0.6245700681687736,0.6415149075582738,-0.0169448393895002,True,27,106,0.0
DOM,Dominican Republic,adaptive over-performers,same_income_group,Upper middle income,equity_access,0.7119854629827318,0.729348274020286,-0.017362811037554216,True,37,106,0.0
DOM,Dominican Republic,adaptive over-performers,same_region,Latin America & Caribbean ,equity_access,0.7119854629827318,0.7295479798583733,-0.017562516875641476,True,24,106,0.0
DOM,Dominican Republic,adaptive over-performers,same_capacity_quartile,Q1_low_capacity,equity_access,0.7119854629827318,0.7061315471456461,0.005853915837085721,True,27,106,0.0
VCT,St. Vincent and the Grenadines,adaptive over-performers,same_income_group,Upper middle income,capacity,0.3606948551024671,0.3467191820439355,0.013975673058531646,True,37,106,0.0769230769230769
VCT,St. Vincent and the Grenadines,adaptive over-performers,same_region,Latin America & Caribbean ,capacity,0.3606948551024671,0.3548721191849168,0.005822735917550337,True,24,106,0.0769230769230769
VCT,St. Vincent and the Grenadines,adaptive over-performers,same_capacity_quartile,Q2,capacity,0.3606948551024671,0.3898693093215164,-0.029174454219049295,True,26,106,0.0769230769230769
VCT,St. Vincent and the Grenadines,adaptive over-performers,same_income_group,Upper middle income,preparedness,0.9521916893872016,0.8513215977301716,0.10087009165702998,True,37,106,0.0769230769230769
VCT,St. Vincent and the Grenadines,adaptive over-performers,same_region,Latin America & Caribbean ,preparedness,0.9521916893872016,0.8582841003558341,0.09390758903136742,True,24,106,0.0769230769230769
VCT,St. Vincent and the Grenadines,adaptive over-performers,same_capacity_quartile,Q2,preparedness,0.9521916893872016,0.9127751948572844,0.039416494529917134,True,26,106,0.0769230769230769
VCT,St. Vincent and the Grenadines,adaptive over-performers,same_income_group,Upper middle income,vulnerability,0.5932353937819079,0.681467035750128,-0.08823164196822009,True,37,106,0.0769230769230769
VCT,St. Vincent and the Grenadines,adaptive over-performers,same_region,Latin America & Caribbean ,vulnerability,0.5932353937819079,0.698661570294468,-0.10542617651256003,True,24,106,0.0769230769230769
VCT,St. Vincent and the Grenadines,adaptive over-performers,same_capacity_quartile,Q2,vulnerability,0.5932353937819079,0.6964128128966902,-0.10317741911478229,True,26,106,0.0769230769230769
VCT,St. Vincent and the Grenadines,adaptive over-performers,same_income_group,Upper middle income,equity_access,0.7744451512642184,0.729348274020286,0.04509687724393241,True,37,106,0.0769230769230769
VCT,St. Vincent and the Grenadines,adaptive over-performers,same_region,Latin America & Caribbean ,equity_access,0.7744451512642184,0.7295479798583733,0.04489717140584515,True,24,106,0.0769230769230769
VCT,St. Vincent and the Grenadines,adaptive over-performers,same_capacity_quartile,Q2,equity_access,0.7744451512642184,0.7224951049541598,0.05195004631005862,True,26,106,0.0769230769230769
BRB,Barbados,adaptive over-performers,same_income_group,High income,capacity,0.4376839484267321,0.5973368179395688,-0.15965286951283675,True,56,106,0.0
BRB,Barbados,adaptive over-performers,same_region,Latin America & Caribbean ,capacity,0.4376839484267321,0.3548721191849168,0.0828118292418153,True,24,106,0.0
BRB,Barbados,adaptive over-performers,same_capacity_quartile,Q2,capacity,0.4376839484267321,0.3898693093215164,0.04781463910521566,True,26,106,0.0
BRB,Barbados,adaptive over-performers,same_income_group,High income,preparedness,0.8694472408349976,0.9369098011569197,-0.0674625603219221,True,56,106,0.0
BRB,Barbados,adaptive over-performers,same_region,Latin America & Caribbean ,preparedness,0.8694472408349976,0.8582841003558341,0.011163140479163447,True,24,106,0.0
BRB,Barbados,adaptive over-performers,same_capacity_quartile,Q2,preparedness,0.8694472408349976,0.9127751948572844,-0.04332795402228684,True,26,106,0.0
BRB,Barbados,adaptive over-performers,same_income_group,High income,vulnerability,0.5981394797313992,0.7274946021164743,-0.12935512238507507,True,56,106,0.0
BRB,Barbados,adaptive over-performers,same_region,Latin America & Caribbean ,vulnerability,0.5981394797313992,0.698661570294468,-0.10052209056306871,True,24,106,0.0
BRB,Barbados,adaptive over-performers,same_capacity_quartile,Q2,vulnerability,0.5981394797313992,0.6964128128966902,-0.09827333316529097,True,26,106,0.0
BRB,Barbados,adaptive over-performers,same_income_group,High income,equity_access,0.7264932746148729,0.779996311641858,-0.05350303702698511,True,56,106,0.0
BRB,Barbados,adaptive over-performers,same_region,Latin America & Caribbean ,equity_access,0.7264932746148729,0.7295479798583733,-0.0030547052435003774,True,24,106,0.0
BRB,Barbados,adaptive over-performers,same_capacity_quartile,Q2,equity_access,0.7264932746148729,0.7224951049541598,0.003998169660713091,True,26,106,0.0
UZB,Uzbekistan,adaptive over-performers,same_income_group,Lower middle income,capacity,0.4119113055278265,0.3138518481233711,0.09805945740445543,True,13,106,0.0384615384615384
UZB,Uzbekistan,adaptive over-performers,same_region,Europe & Central Asia,capacity,0.4119113055278265,0.592121438040106,-0.18021013251227946,True,49,106,0.0384615384615384
UZB,Uzbekistan,adaptive over-performers,same_capacity_quartile,Q2,capacity,0.4119113055278265,0.3898693093215164,0.02204199620631009,True,26,106,0.0384615384615384
UZB,Uzbekistan,adaptive over-performers,same_income_group,Lower middle income,preparedness,0.9405649421131524,0.9214354407742822,0.01912950133887026,True,13,106,0.0384615384615384
UZB,Uzbekistan,adaptive over-performers,same_region,Europe & Central Asia,preparedness,0.9405649421131524,0.9240148867420244,0.01655005537112808,True,49,106,0.0384615384615384
UZB,Uzbekistan,adaptive over-performers,same_capacity_quartile,Q2,preparedness,0.9405649421131524,0.9127751948572844,0.027789747255868025,True,26,106,0.0384615384615384
