diagnostic_type,name,block,direction,higher_feature_interpretation,n,n_validation_countries,missing_count_in_validation_sample,missing_rate_in_validation_sample,spearman_r,ci_low,ci_high,p_value
indicator_raw,physicians_per_1000,capacity,beneficial,higher raw indicator value follows configured direction separately,105,119,14,0.11764705882352941,0.21109268090400166,0.04075326105284358,0.36581185771557484,0.03065027234497273
indicator_raw,nurses_midwives_per_1000,capacity,beneficial,higher raw indicator value follows configured direction separately,107,119,12,0.10084033613445378,-0.07940986304590607,-0.26981493781736055,0.10668740801526233,0.41618420306296333
indicator_raw,hospital_beds_per_1000,capacity,beneficial,higher raw indicator value follows configured direction separately,103,119,16,0.13445378151260504,0.25509598910512676,0.06021806170928367,0.4306196585458082,0.009308270733628865
indicator_raw,current_health_expenditure_per_capita_ppp,capacity,beneficial,higher raw indicator value follows configured direction separately,109,119,10,0.08403361344537816,-0.09493096098600687,-0.2946686694153064,0.08680615481374504,0.3261483021200857
indicator_raw,current_health_expenditure_gdp,capacity,beneficial,higher raw indicator value follows configured direction separately,109,119,10,0.08403361344537816,0.09959225280326198,-0.0952593252094652,0.29587147663002855,0.3028455107104255
indicator_raw,domestic_gov_health_expenditure_gdp,capacity,beneficial,higher raw indicator value follows configured direction separately,109,119,10,0.08403361344537816,0.04575108887035493,-0.14050444071516013,0.22219555294167104,0.6366441134285701
indicator_raw,measles_immunization_coverage,preparedness,beneficial,higher raw indicator value follows configured direction separately,108,119,11,0.09243697478991597,-0.34248677762515894,-0.5096589603039973,-0.16306397360664543,0.0002854271964225056
indicator_raw,dpt_immunization_coverage,preparedness,beneficial,higher raw indicator value follows configured direction separately,108,119,11,0.09243697478991597,-0.32370994063768616,-0.5096833243125743,-0.1453023908958664,0.0006321122765395037
indicator_raw,tuberculosis_incidence,preparedness,cost,higher raw indicator value follows configured direction separately,116,119,3,0.025210084033613446,0.11507478093431302,-0.08595218880464442,0.29897230255717294,0.21867388251988715
indicator_raw,hiv_prevalence,preparedness,cost,higher raw indicator value follows configured direction separately,82,119,37,0.31092436974789917,0.1041779561812987,-0.10732195924563079,0.3380367385252219,0.35163291991202716
indicator_raw,age65_share,vulnerability,cost,higher raw indicator value follows configured direction separately,119,119,0,0.0,0.2978493092152115,0.11114456552079861,0.4565737531778126,0.0010023824454264006
indicator_raw,population_density,vulnerability,cost,higher raw indicator value follows configured direction separately,119,119,0,0.0,-0.18213217490385988,-0.3816489378583335,0.013565181384588294,0.0474266388657529
indicator_raw,urban_population_share,vulnerability,cost,higher raw indicator value follows configured direction separately,119,119,0,0.0,-0.16777773113047026,-0.3490576614100133,0.020515522614728363,0.06817149932145922
indicator_raw,ncd_mortality_risk,vulnerability,cost,higher raw indicator value follows configured direction separately,105,119,14,0.11764705882352941,0.3405488342380208,0.15700950328798222,0.5026686870255175,0.0003784335180012104
indicator_raw,air_pollution_pm25,vulnerability,cost,higher raw indicator value follows configured direction separately,111,119,8,0.06722689075630252,0.08734643734643734,-0.10567197487920499,0.2911622712789297,0.3619907191734173
indicator_raw,life_expectancy,vulnerability,beneficial,higher raw indicator value follows configured direction separately,119,119,0,0.0,-0.2370531263352799,-0.4297544293052426,-0.034625755114834525,0.009438249025345319
indicator_raw,under5_mortality,vulnerability,cost,higher raw indicator value follows configured direction separately,108,119,11,0.09243697478991597,0.0035535570110283147,-0.17429491420280505,0.18578159208447362,0.97088364765396
indicator_raw,adult_mortality_female,vulnerability,cost,higher raw indicator value follows configured direction separately,119,119,0,0.0,0.19341974077766702,-0.005708753514576457,0.38171079297015387,0.03506258912676917
indicator_raw,adult_mortality_male,vulnerability,cost,higher raw indicator value follows configured direction separately,119,119,0,0.0,0.3415681526848028,0.15975491065879785,0.5241688201068191,0.00014368632668137953
indicator_raw,uhc_service_coverage_index,equity_access,beneficial,higher raw indicator value follows configured direction separately,108,119,11,0.09243697478991597,-0.2936240081021262,-0.48066587103472536,-0.11329036021371129,0.0020409601765795948
indicator_raw,domestic_gov_health_expenditure_share,equity_access,beneficial,higher raw indicator value follows configured direction separately,109,119,10,0.08403361344537816,-0.15512927439532948,-0.358750617401425,0.025962163531005358,0.10724691569290602
