iso3,country,region,income_group,score,rank,ranking_method,weighting_method,normalization_method,imputation_method,feature_missing_count,feature_missing_rate,n_countries_in_sample,n_indicators
GBR,United Kingdom,Europe & Central Asia,High income,0.7199277151884004,49,marcos,critic,robust_minmax,knn,0,0.0,193,15
RUS,Russian Federation,Europe & Central Asia,High income,0.7186761927608686,50,marcos,critic,robust_minmax,knn,0,0.0,193,15
PAN,Panama,Latin America & Caribbean ,High income,0.7159214017587298,51,marcos,critic,robust_minmax,knn,0,0.0,193,15
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,0.7140869494738162,52,marcos,critic,robust_minmax,knn,3,0.2,193,15
NLD,Netherlands,Europe & Central Asia,High income,0.7105038144274516,53,marcos,critic,robust_minmax,knn,0,0.0,193,15
POL,Poland,Europe & Central Asia,High income,0.7058821007853783,54,marcos,critic,robust_minmax,knn,0,0.0,193,15
MYS,Malaysia,East Asia & Pacific,Upper middle income,0.7032863032855422,55,marcos,critic,robust_minmax,knn,0,0.0,193,15
KOR,"Korea, Rep.",East Asia & Pacific,High income,0.6988526596249673,56,marcos,critic,robust_minmax,knn,0,0.0,193,15
TON,Tonga,East Asia & Pacific,Upper middle income,0.6955533336974874,57,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
HRV,Croatia,Europe & Central Asia,High income,0.6930667619006473,58,marcos,critic,robust_minmax,knn,0,0.0,193,15
SYC,Seychelles,Sub-Saharan Africa ,High income,0.6929424482229731,59,marcos,critic,robust_minmax,knn,0,0.0,193,15
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0.688782560099145,60,marcos,critic,robust_minmax,knn,0,0.0,193,15
ITA,Italy,Europe & Central Asia,High income,0.6876346560132486,61,marcos,critic,robust_minmax,knn,0,0.0,193,15
HUN,Hungary,Europe & Central Asia,High income,0.6872108997651041,62,marcos,critic,robust_minmax,knn,0,0.0,193,15
CHN,China,East Asia & Pacific,Upper middle income,0.6808461556843904,63,marcos,critic,robust_minmax,knn,0,0.0,193,15
TJK,Tajikistan,Europe & Central Asia,Lower middle income,0.6760480143668648,64,marcos,critic,robust_minmax,knn,0,0.0,193,15
SMR,San Marino,Europe & Central Asia,High income,0.6747972273493759,65,marcos,critic,robust_minmax,knn,3,0.2,193,15
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,0.674131814730327,66,marcos,critic,robust_minmax,knn,0,0.0,193,15
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.6719937972090844,67,marcos,critic,robust_minmax,knn,0,0.0,193,15
NIC,Nicaragua,Latin America & Caribbean ,Lower middle income,0.6719049221587365,68,marcos,critic,robust_minmax,knn,0,0.0,193,15
LTU,Lithuania,Europe & Central Asia,High income,0.6711472238653338,69,marcos,critic,robust_minmax,knn,0,0.0,193,15
BLZ,Belize,Latin America & Caribbean ,Upper middle income,0.6704574601883828,70,marcos,critic,robust_minmax,knn,0,0.0,193,15
CYP,Cyprus,Europe & Central Asia,High income,0.6691061328941411,71,marcos,critic,robust_minmax,knn,0,0.0,193,15
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.6666639672345542,72,marcos,critic,robust_minmax,knn,0,0.0,193,15
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,0.6661693942289455,73,marcos,critic,robust_minmax,knn,0,0.0,193,15
GRC,Greece,Europe & Central Asia,High income,0.6658287362761515,74,marcos,critic,robust_minmax,knn,0,0.0,193,15
SGP,Singapore,East Asia & Pacific,High income,0.6651610256606894,75,marcos,critic,robust_minmax,knn,0,0.0,193,15
EST,Estonia,Europe & Central Asia,High income,0.6608759844139284,76,marcos,critic,robust_minmax,knn,0,0.0,193,15
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,0.655527586522843,77,marcos,critic,robust_minmax,knn,0,0.0,193,15
BTN,Bhutan,South Asia,Lower middle income,0.6450841320239705,78,marcos,critic,robust_minmax,knn,0,0.0,193,15
KNA,St. Kitts and Nevis,Latin America & Caribbean ,High income,0.6446727694307757,79,marcos,critic,robust_minmax,knn,0,0.0,193,15
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,0.6344784494899103,80,marcos,critic,robust_minmax,knn,0,0.0,193,15
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,0.6315090069161255,81,marcos,critic,robust_minmax,knn,0,0.0,193,15
ROU,Romania,Europe & Central Asia,High income,0.6300081869701424,82,marcos,critic,robust_minmax,knn,0,0.0,193,15
BHS,"Bahamas, The",Latin America & Caribbean ,High income,0.6264824157592357,83,marcos,critic,robust_minmax,knn,0,0.0,193,15
MCO,Monaco,Europe & Central Asia,High income,0.6227599906334851,84,marcos,critic,robust_minmax,knn,2,0.1333333333333333,193,15
MKD,North Macedonia,Europe & Central Asia,Upper middle income,0.6155196109862635,85,marcos,critic,robust_minmax,knn,0,0.0,193,15
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,0.6074381213704757,86,marcos,critic,robust_minmax,knn,2,0.1333333333333333,193,15
PER,Peru,Latin America & Caribbean ,Upper middle income,0.6069626370509957,87,marcos,critic,robust_minmax,knn,0,0.0,193,15
MEX,Mexico,Latin America & Caribbean ,Upper middle income,0.6065109539721123,88,marcos,critic,robust_minmax,knn,0,0.0,193,15
THA,Thailand,East Asia & Pacific,Upper middle income,0.6036506841119612,89,marcos,critic,robust_minmax,knn,0,0.0,193,15
GUY,Guyana,Latin America & Caribbean ,High income,0.6015762901208707,90,marcos,critic,robust_minmax,knn,0,0.0,193,15
PRY,Paraguay,Latin America & Caribbean ,Upper middle income,0.599751110178213,91,marcos,critic,robust_minmax,knn,0,0.0,193,15
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.5983132064408447,92,marcos,critic,robust_minmax,knn,0,0.0,193,15
BGR,Bulgaria,Europe & Central Asia,High income,0.5911834126433382,93,marcos,critic,robust_minmax,knn,0,0.0,193,15
VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,0.5897541749036985,94,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,0.5873842662202795,95,marcos,critic,robust_minmax,knn,0,0.0,193,15
TUV,Tuvalu,East Asia & Pacific,Upper middle income,0.5860128209145069,96,marcos,critic,robust_minmax,knn,2,0.1333333333333333,193,15
NRU,Nauru,East Asia & Pacific,High income,0.5835558814540706,97,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
FJI,Fiji,East Asia & Pacific,Upper middle income,0.5832428205910912,98,marcos,critic,robust_minmax,knn,0,0.0,193,15
SUR,Suriname,Latin America & Caribbean ,Upper middle income,0.5826807850995415,99,marcos,critic,robust_minmax,knn,0,0.0,193,15
