iso3,country,region,income_group,score,rank,ranking_method,weighting_method,normalization_method,imputation_method,feature_missing_count,feature_missing_rate,n_countries_in_sample,n_indicators
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.6864592698185571,10,topsis,critic,robust_minmax,knn,0,0.0,193,15
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,0.6772446545318851,11,topsis,critic,robust_minmax,knn,0,0.0,193,15
PLW,Palau,East Asia & Pacific,High income,0.6686257425468951,12,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
TJK,Tajikistan,Europe & Central Asia,Lower middle income,0.6620763092522828,13,topsis,critic,robust_minmax,knn,0,0.0,193,15
COL,Colombia,Latin America & Caribbean ,Upper middle income,0.6598738143893305,14,topsis,critic,robust_minmax,knn,0,0.0,193,15
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0.6595872082468324,15,topsis,critic,robust_minmax,knn,0,0.0,193,15
BLZ,Belize,Latin America & Caribbean ,Upper middle income,0.6588673522001601,16,topsis,critic,robust_minmax,knn,0,0.0,193,15
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,0.6587443063149536,17,topsis,critic,robust_minmax,knn,0,0.0,193,15
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0.655211989774754,18,topsis,critic,robust_minmax,knn,0,0.0,193,15
BRA,Brazil,Latin America & Caribbean ,Upper middle income,0.6551542439056891,19,topsis,critic,robust_minmax,knn,0,0.0,193,15
TON,Tonga,East Asia & Pacific,Upper middle income,0.6549365057467643,20,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
MYS,Malaysia,East Asia & Pacific,Upper middle income,0.6542444840857974,21,topsis,critic,robust_minmax,knn,0,0.0,193,15
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,0.6538497968649428,22,topsis,critic,robust_minmax,knn,0,0.0,193,15
TUR,Turkiye,Europe & Central Asia,Upper middle income,0.6532362449080973,23,topsis,critic,robust_minmax,knn,0,0.0,193,15
PAN,Panama,Latin America & Caribbean ,High income,0.6511474990698489,24,topsis,critic,robust_minmax,knn,0,0.0,193,15
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,0.6502095007471558,25,topsis,critic,robust_minmax,knn,2,0.1333333333333333,193,15
NIC,Nicaragua,Latin America & Caribbean ,Lower middle income,0.6501961435334017,26,topsis,critic,robust_minmax,knn,0,0.0,193,15
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,0.6489869260622773,27,topsis,critic,robust_minmax,knn,0,0.0,193,15
SYC,Seychelles,Sub-Saharan Africa ,High income,0.6434675056916428,28,topsis,critic,robust_minmax,knn,0,0.0,193,15
MDV,Maldives,South Asia,Upper middle income,0.6411032422204602,29,topsis,critic,robust_minmax,knn,0,0.0,193,15
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,0.6409773496100934,30,topsis,critic,robust_minmax,knn,0,0.0,193,15
BTN,Bhutan,South Asia,Lower middle income,0.6396195965144391,31,topsis,critic,robust_minmax,knn,0,0.0,193,15
ARG,Argentina,Latin America & Caribbean ,Upper middle income,0.6393703932963263,32,topsis,critic,robust_minmax,knn,0,0.0,193,15
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,0.6370344144109585,33,topsis,critic,robust_minmax,knn,0,0.0,193,15
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,0.6350397059347409,34,topsis,critic,robust_minmax,knn,0,0.0,193,15
KIR,Kiribati,East Asia & Pacific,Lower middle income,0.6333738467746698,35,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
GUY,Guyana,Latin America & Caribbean ,High income,0.631858030932178,36,topsis,critic,robust_minmax,knn,0,0.0,193,15
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,0.6313973650119424,37,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
NAM,Namibia,Sub-Saharan Africa ,Lower middle income,0.6301329653602874,38,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.6290370728655982,39,topsis,critic,robust_minmax,knn,0,0.0,193,15
SUR,Suriname,Latin America & Caribbean ,Upper middle income,0.6278583106103353,40,topsis,critic,robust_minmax,knn,0,0.0,193,15
FJI,Fiji,East Asia & Pacific,Upper middle income,0.6273953702754916,41,topsis,critic,robust_minmax,knn,0,0.0,193,15
CRI,Costa Rica,Latin America & Caribbean ,High income,0.6270980606673946,42,topsis,critic,robust_minmax,knn,0,0.0,193,15
PRY,Paraguay,Latin America & Caribbean ,Upper middle income,0.626991036675318,43,topsis,critic,robust_minmax,knn,0,0.0,193,15
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,0.6236843911327241,44,topsis,critic,robust_minmax,knn,0,0.0,193,15
VUT,Vanuatu,East Asia & Pacific,Lower middle income,0.6217966288591241,45,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
ISL,Iceland,Europe & Central Asia,High income,0.6214773485812463,46,topsis,critic,robust_minmax,knn,0,0.0,193,15
MEX,Mexico,Latin America & Caribbean ,Upper middle income,0.6195296133921055,47,topsis,critic,robust_minmax,knn,0,0.0,193,15
STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,0.6174754703510491,48,topsis,critic,robust_minmax,knn,0,0.0,193,15
SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,0.6173936040986241,49,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
HND,Honduras,Latin America & Caribbean ,Lower middle income,0.6171130437999984,50,topsis,critic,robust_minmax,knn,0,0.0,193,15
WSM,Samoa,East Asia & Pacific,Upper middle income,0.6163652338729702,51,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
AND,Andorra,Europe & Central Asia,High income,0.615755407864056,52,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,0.6156206413322267,53,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
IRL,Ireland,Europe & Central Asia,High income,0.6154043208846551,54,topsis,critic,robust_minmax,knn,0,0.0,193,15
KNA,St. Kitts and Nevis,Latin America & Caribbean ,High income,0.6153312933831856,55,topsis,critic,robust_minmax,knn,0,0.0,193,15
ZMB,Zambia,Sub-Saharan Africa ,Lower middle income,0.6144214988436237,56,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.6094877271255755,57,topsis,critic,robust_minmax,knn,0,0.0,193,15
PER,Peru,Latin America & Caribbean ,Upper middle income,0.6079164874541102,58,topsis,critic,robust_minmax,knn,0,0.0,193,15
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.6069789699561435,59,topsis,critic,robust_minmax,knn,0,0.0,193,15
TUV,Tuvalu,East Asia & Pacific,Upper middle income,0.6059799174424816,60,topsis,critic,robust_minmax,knn,2,0.1333333333333333,193,15
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.6051339870043564,61,topsis,critic,robust_minmax,knn,0,0.0,193,15
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0.6043150698322575,62,topsis,critic,robust_minmax,knn,0,0.0,193,15
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,0.6024806724074527,63,topsis,critic,robust_minmax,knn,0,0.0,193,15
AUS,Australia,East Asia & Pacific,High income,0.6020177979139226,64,topsis,critic,robust_minmax,knn,0,0.0,193,15
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,0.6012276295322192,65,topsis,critic,robust_minmax,knn,3,0.2,193,15
NRU,Nauru,East Asia & Pacific,High income,0.5982082074746595,66,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
USA,United States,North America,High income,0.5957041735294344,67,topsis,critic,robust_minmax,knn,0,0.0,193,15
CHL,Chile,Latin America & Caribbean ,High income,0.5955835673053615,68,topsis,critic,robust_minmax,knn,0,0.0,193,15
GAB,Gabon,Sub-Saharan Africa ,Upper middle income,0.5950305268284076,69,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,0.5942617689872981,70,topsis,critic,robust_minmax,knn,0,0.0,193,15
LSO,Lesotho,Sub-Saharan Africa ,Lower middle income,0.5939775574102379,71,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
LUX,Luxembourg,Europe & Central Asia,High income,0.5929348926892752,72,topsis,critic,robust_minmax,knn,0,0.0,193,15
BHS,"Bahamas, The",Latin America & Caribbean ,High income,0.5922916774544944,73,topsis,critic,robust_minmax,knn,0,0.0,193,15
CUB,Cuba,Latin America & Caribbean ,Upper middle income,0.592082213274024,74,topsis,critic,robust_minmax,knn,0,0.0,193,15
TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,0.5912492734466925,75,topsis,critic,robust_minmax,knn,0,0.0,193,15
KEN,Kenya,Sub-Saharan Africa ,Lower middle income,0.5911256011549303,76,topsis,critic,robust_minmax,knn,0,0.0,193,15
JAM,Jamaica,Latin America & Caribbean ,Upper middle income,0.5902318956965336,77,topsis,critic,robust_minmax,knn,0,0.0,193,15
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,0.5895790155996208,78,topsis,critic,robust_minmax,knn,0,0.0,193,15
NZL,New Zealand,East Asia & Pacific,High income,0.589463065714311,79,topsis,critic,robust_minmax,knn,0,0.0,193,15
CHN,China,East Asia & Pacific,Upper middle income,0.5877352133698911,80,topsis,critic,robust_minmax,knn,0,0.0,193,15
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,0.5867427780078645,81,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
ERI,Eritrea,Sub-Saharan Africa ,Low income,0.5865566029291549,82,topsis,critic,robust_minmax,knn,0,0.0,193,15
ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,0.5858524640041919,83,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
VEN,"Venezuela, RB",Latin America & Caribbean ,Not classified,0.5846374584378592,84,topsis,critic,robust_minmax,knn,0,0.0,193,15
LAO,Lao PDR,East Asia & Pacific,Lower middle income,0.5842395524289112,85,topsis,critic,robust_minmax,knn,0,0.0,193,15
NOR,Norway,Europe & Central Asia,High income,0.5838060130227963,86,topsis,critic,robust_minmax,knn,0,0.0,193,15
SEN,Senegal,Sub-Saharan Africa ,Lower middle income,0.5826707376549464,87,topsis,critic,robust_minmax,knn,0,0.0,193,15
MOZ,Mozambique,Sub-Saharan Africa ,Low income,0.5816338940640664,88,topsis,critic,robust_minmax,knn,0,0.0,193,15
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.5809091623705732,89,topsis,critic,robust_minmax,knn,0,0.0,193,15
TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,0.5808547569670748,90,topsis,critic,robust_minmax,knn,0,0.0,193,15
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,0.5802138828770057,91,topsis,critic,robust_minmax,knn,0,0.0,193,15
GMB,"Gambia, The",Sub-Saharan Africa ,Low income,0.5800683045386188,92,topsis,critic,robust_minmax,knn,0,0.0,193,15
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,0.5791748923249151,93,topsis,critic,robust_minmax,knn,0,0.0,193,15
MWI,Malawi,Sub-Saharan Africa ,Low income,0.5787996431836083,94,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
SDN,Sudan,Sub-Saharan Africa ,Low income,0.5777460444870882,95,topsis,critic,robust_minmax,knn,0,0.0,193,15
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,0.5770986536439131,96,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.5759793371519877,97,topsis,critic,robust_minmax,knn,0,0.0,193,15
SLV,El Salvador,Latin America & Caribbean ,Upper middle income,0.5756521780112986,98,topsis,critic,robust_minmax,knn,0,0.0,193,15
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.5745361713689106,99,topsis,critic,robust_minmax,knn,2,0.1333333333333333,193,15
BLR,Belarus,Europe & Central Asia,Upper middle income,0.5735727720946442,100,topsis,critic,robust_minmax,knn,0,0.0,193,15
IDN,Indonesia,East Asia & Pacific,Upper middle income,0.5723812284635075,101,topsis,critic,robust_minmax,knn,0,0.0,193,15
MRT,Mauritania,Sub-Saharan Africa ,Lower middle income,0.5719438113096291,102,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
VNM,Viet Nam,East Asia & Pacific,Lower middle income,0.5719119873571071,103,topsis,critic,robust_minmax,knn,0,0.0,193,15
URY,Uruguay,Latin America & Caribbean ,High income,0.5712838260636992,104,topsis,critic,robust_minmax,knn,0,0.0,193,15
KHM,Cambodia,East Asia & Pacific,Lower middle income,0.5711520442903822,105,topsis,critic,robust_minmax,knn,0,0.0,193,15
LCA,St. Lucia,Latin America & Caribbean ,Upper middle income,0.5710598007944979,106,topsis,critic,robust_minmax,knn,0,0.0,193,15
COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,0.5699053355370756,107,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.5686726971673192,108,topsis,critic,robust_minmax,knn,0,0.0,193,15
UGA,Uganda,Sub-Saharan Africa ,Low income,0.5685196349146696,109,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,0.5673746554301747,110,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
DMA,Dominica,Latin America & Caribbean ,Upper middle income,0.5664092178421185,111,topsis,critic,robust_minmax,knn,0,0.0,193,15
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,0.565157121865637,112,topsis,critic,robust_minmax,knn,0,0.0,193,15
NER,Niger,Sub-Saharan Africa ,Low income,0.563993231135798,113,topsis,critic,robust_minmax,knn,0,0.0,193,15
RUS,Russian Federation,Europe & Central Asia,High income,0.5637386914585556,114,topsis,critic,robust_minmax,knn,0,0.0,193,15
SVK,Slovak Republic,Europe & Central Asia,High income,0.5616399926153708,115,topsis,critic,robust_minmax,knn,0,0.0,193,15
THA,Thailand,East Asia & Pacific,Upper middle income,0.5605663165078046,116,topsis,critic,robust_minmax,knn,0,0.0,193,15
MDG,Madagascar,Sub-Saharan Africa ,Low income,0.5591534557555146,117,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
MLI,Mali,Sub-Saharan Africa ,Low income,0.5575108823726892,118,topsis,critic,robust_minmax,knn,0,0.0,193,15
CAN,Canada,North America,High income,0.5565404175892286,119,topsis,critic,robust_minmax,knn,0,0.0,193,15
PHL,Philippines,East Asia & Pacific,Lower middle income,0.5565148800717337,120,topsis,critic,robust_minmax,knn,0,0.0,193,15
CYP,Cyprus,Europe & Central Asia,High income,0.5539071881257841,121,topsis,critic,robust_minmax,knn,0,0.0,193,15
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,0.5531028799062588,122,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
AGO,Angola,Sub-Saharan Africa ,Lower middle income,0.5530363118176724,123,topsis,critic,robust_minmax,knn,0,0.0,193,15
SLE,Sierra Leone,Sub-Saharan Africa ,Low income,0.5524338933046791,124,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
RWA,Rwanda,Sub-Saharan Africa ,Low income,0.5516272679507683,125,topsis,critic,robust_minmax,knn,0,0.0,193,15
LBR,Liberia,Sub-Saharan Africa ,Low income,0.5478095427921379,126,topsis,critic,robust_minmax,knn,0,0.0,193,15
GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,0.5464158721688478,127,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
NPL,Nepal,South Asia,Lower middle income,0.5461144493611818,128,topsis,critic,robust_minmax,knn,0,0.0,193,15
ARM,Armenia,Europe & Central Asia,Upper middle income,0.5458060547467473,129,topsis,critic,robust_minmax,knn,0,0.0,193,15
SGP,Singapore,East Asia & Pacific,High income,0.5451816309076526,130,topsis,critic,robust_minmax,knn,0,0.0,193,15
BDI,Burundi,Sub-Saharan Africa ,Low income,0.544314506919153,131,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
ETH,Ethiopia,Sub-Saharan Africa ,Not classified,0.5430955507756935,132,topsis,critic,robust_minmax,knn,0,0.0,193,15
MDA,Moldova,Europe & Central Asia,Upper middle income,0.5428807535046103,133,topsis,critic,robust_minmax,knn,0,0.0,193,15
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,0.5428702100740465,134,topsis,critic,robust_minmax,knn,2,0.1333333333333333,193,15
AUT,Austria,Europe & Central Asia,High income,0.5406904974351987,135,topsis,critic,robust_minmax,knn,0,0.0,193,15
MMR,Myanmar,East Asia & Pacific,Lower middle income,0.5405273603809144,136,topsis,critic,robust_minmax,knn,0,0.0,193,15
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,0.5402732711955106,137,topsis,critic,robust_minmax,knn,0,0.0,193,15
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,0.5395804002332789,138,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
SSD,South Sudan,Sub-Saharan Africa ,Low income,0.5368657567033444,139,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.5339181582932998,140,topsis,critic,robust_minmax,knn,0,0.0,193,15
LKA,Sri Lanka,South Asia,Lower middle income,0.5337333777236083,141,topsis,critic,robust_minmax,knn,0,0.0,193,15
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.532005137351268,142,topsis,critic,robust_minmax,knn,0,0.0,193,15
TGO,Togo,Sub-Saharan Africa ,Low income,0.5304708496545024,143,topsis,critic,robust_minmax,knn,0,0.0,193,15
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa ,Low income,0.5303971787858602,144,topsis,critic,robust_minmax,knn,2,0.1333333333333333,193,15
SWE,Sweden,Europe & Central Asia,High income,0.5293998706118301,145,topsis,critic,robust_minmax,knn,0,0.0,193,15
MKD,North Macedonia,Europe & Central Asia,Upper middle income,0.5289131186358805,146,topsis,critic,robust_minmax,knn,0,0.0,193,15
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.5285019153408534,147,topsis,critic,robust_minmax,knn,0,0.0,193,15
GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,0.5267642295944122,148,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
POL,Poland,Europe & Central Asia,High income,0.526352758402648,149,topsis,critic,robust_minmax,knn,0,0.0,193,15
BEN,Benin,Sub-Saharan Africa ,Lower middle income,0.5255468052200292,150,topsis,critic,robust_minmax,knn,0,0.0,193,15
CAF,Central African Republic,Sub-Saharan Africa ,Low income,0.5254385839164835,151,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
ALB,Albania,Europe & Central Asia,Upper middle income,0.522791895580844,152,topsis,critic,robust_minmax,knn,0,0.0,193,15
CHE,Switzerland,Europe & Central Asia,High income,0.5226525445263528,153,topsis,critic,robust_minmax,knn,0,0.0,193,15
FRA,France,Europe & Central Asia,High income,0.5208207514053464,154,topsis,critic,robust_minmax,knn,0,0.0,193,15
DNK,Denmark,Europe & Central Asia,High income,0.5197582497901008,155,topsis,critic,robust_minmax,knn,0,0.0,193,15
CZE,Czechia,Europe & Central Asia,High income,0.5189433199332172,156,topsis,critic,robust_minmax,knn,0,0.0,193,15
TCD,Chad,Sub-Saharan Africa ,Low income,0.5182715564601655,157,topsis,critic,robust_minmax,knn,0,0.0,193,15
FIN,Finland,Europe & Central Asia,High income,0.5181751415904207,158,topsis,critic,robust_minmax,knn,0,0.0,193,15
DEU,Germany,Europe & Central Asia,High income,0.5166824543562348,159,topsis,critic,robust_minmax,knn,0,0.0,193,15
KOR,"Korea, Rep.",East Asia & Pacific,High income,0.5161724342762615,160,topsis,critic,robust_minmax,knn,0,0.0,193,15
GRD,Grenada,Latin America & Caribbean ,Upper middle income,0.51562955054046,161,topsis,critic,robust_minmax,knn,0,0.0,193,15
GIN,Guinea,Sub-Saharan Africa ,Lower middle income,0.5141349030818788,162,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
SVN,Slovenia,Europe & Central Asia,High income,0.5135747117444304,163,topsis,critic,robust_minmax,knn,0,0.0,193,15
GEO,Georgia,Europe & Central Asia,Upper middle income,0.5135323202917826,164,topsis,critic,robust_minmax,knn,0,0.0,193,15
IND,India,South Asia,Lower middle income,0.5132122382480598,165,topsis,critic,robust_minmax,knn,0,0.0,193,15
ESP,Spain,Europe & Central Asia,High income,0.5074640061763653,166,topsis,critic,robust_minmax,knn,0,0.0,193,15
HTI,Haiti,Latin America & Caribbean ,Lower middle income,0.5074025754410431,167,topsis,critic,robust_minmax,knn,0,0.0,193,15
BEL,Belgium,Europe & Central Asia,High income,0.5052565190749957,168,topsis,critic,robust_minmax,knn,0,0.0,193,15
COM,Comoros,Sub-Saharan Africa ,Lower middle income,0.5012121773702752,169,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
MNE,Montenegro,Europe & Central Asia,Upper middle income,0.4984449888320774,170,topsis,critic,robust_minmax,knn,0,0.0,193,15
HUN,Hungary,Europe & Central Asia,High income,0.49688844792823705,171,topsis,critic,robust_minmax,knn,0,0.0,193,15
JPN,Japan,East Asia & Pacific,High income,0.4950141426402571,172,topsis,critic,robust_minmax,knn,0,0.0,193,15
GBR,United Kingdom,Europe & Central Asia,High income,0.4949380211370323,173,topsis,critic,robust_minmax,knn,0,0.0,193,15
ROU,Romania,Europe & Central Asia,High income,0.4949036575340351,174,topsis,critic,robust_minmax,knn,0,0.0,193,15
BGD,Bangladesh,South Asia,Lower middle income,0.49220117955490633,175,topsis,critic,robust_minmax,knn,0,0.0,193,15
LTU,Lithuania,Europe & Central Asia,High income,0.49106649231365435,176,topsis,critic,robust_minmax,knn,0,0.0,193,15
MUS,Mauritius,Sub-Saharan Africa ,Upper middle income,0.4908198117092145,177,topsis,critic,robust_minmax,knn,0,0.0,193,15
HRV,Croatia,Europe & Central Asia,High income,0.4905117812512821,178,topsis,critic,robust_minmax,knn,0,0.0,193,15
PRT,Portugal,Europe & Central Asia,High income,0.4898143440374124,179,topsis,critic,robust_minmax,knn,0,0.0,193,15
EST,Estonia,Europe & Central Asia,High income,0.48854194906257226,180,topsis,critic,robust_minmax,knn,0,0.0,193,15
NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,0.4878913649224985,181,topsis,critic,robust_minmax,knn,1,0.0666666666666666,193,15
GRC,Greece,Europe & Central Asia,High income,0.48022687623290616,182,topsis,critic,robust_minmax,knn,0,0.0,193,15
ITA,Italy,Europe & Central Asia,High income,0.4752751208294873,183,topsis,critic,robust_minmax,knn,0,0.0,193,15
NLD,Netherlands,Europe & Central Asia,High income,0.4747859854017632,184,topsis,critic,robust_minmax,knn,0,0.0,193,15
BGR,Bulgaria,Europe & Central Asia,High income,0.4673835166370898,185,topsis,critic,robust_minmax,knn,0,0.0,193,15
LVA,Latvia,Europe & Central Asia,High income,0.4636075751937629,186,topsis,critic,robust_minmax,knn,0,0.0,193,15
SMR,San Marino,Europe & Central Asia,High income,0.46179382646075756,187,topsis,critic,robust_minmax,knn,3,0.2,193,15
UKR,Ukraine,Europe & Central Asia,Upper middle income,0.45848862457227435,188,topsis,critic,robust_minmax,knn,2,0.1333333333333333,193,15
BRB,Barbados,Latin America & Caribbean ,High income,0.45602532306742066,189,topsis,critic,robust_minmax,knn,0,0.0,193,15
SRB,Serbia,Europe & Central Asia,Upper middle income,0.45600786095074686,190,topsis,critic,robust_minmax,knn,0,0.0,193,15
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,0.4487082250640867,191,topsis,critic,robust_minmax,knn,0,0.0,193,15
MCO,Monaco,Europe & Central Asia,High income,0.4439964469120014,192,topsis,critic,robust_minmax,knn,2,0.1333333333333333,193,15
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.4410114705043253,193,topsis,critic,robust_minmax,knn,0,0.0,193,15
