iso3,country,n_simulations,coverage_count,missing_count_from_potential_capacity_sample,missing_rate_from_potential_capacity_sample,conversion_efficiency_mean,conversion_efficiency_ci_low,conversion_efficiency_ci_high,conversion_efficiency_std,most_likely_profile,profile_stability_score,robustness_category
CRI,Costa Rica,1000,106,87,0.4507772020725389,-0.13363978539617896,-0.6679214926957152,0.35114135544620845,0.25873554590474585,uncertain / data-limited systems,1.0,robust
BRN,Brunei Darussalam,1000,106,87,0.4507772020725389,-0.5943032665723676,-1.1751362097977442,-0.07728985321218405,0.271111868628537,uncertain / data-limited systems,1.0,robust
EST,Estonia,1000,106,87,0.4507772020725389,0.5451685288291221,0.21564226669626135,0.9165993991055478,0.17623954569918518,capacity under-realizers,0.758,robust
KOR,"Korea, Rep.",1000,106,87,0.4507772020725389,0.2457796811818036,-0.13036970686605087,0.6068733371493663,0.185233860480222,effective converters,0.596,unstable
LTU,Lithuania,1000,106,87,0.4507772020725389,-2.2167983904528166,-2.618547146506959,-1.7523518648794636,0.22030659310535058,uncertain / data-limited systems,1.0,robust
ATG,Antigua and Barbuda,1000,106,87,0.4507772020725389,1.0741567943109749,0.5497292659199731,1.5610871688673502,0.26011694567042903,uncertain / data-limited systems,1.0,robust
COL,Colombia,1000,106,87,0.4507772020725389,-0.7289120206656271,-1.215203477300664,-0.3191071759960486,0.23905726858166407,capacity under-realizers,0.582,unstable
KAZ,Kazakhstan,1000,106,87,0.4507772020725389,-0.03667473600465945,-0.605530971788893,0.5850531314016615,0.30474889099662733,capacity under-realizers,0.56,unstable
ROU,Romania,1000,106,87,0.4507772020725389,-0.9495167631220225,-1.2807430588739617,-0.605213679623064,0.16942005167973637,capacity under-realizers,0.513,unstable
SMR,San Marino,1000,106,87,0.4507772020725389,-0.020860744322437993,-0.4952206259733958,0.470431908278341,0.25139760459361515,uncertain / data-limited systems,1.0,robust
SYC,Seychelles,1000,106,87,0.4507772020725389,0.7659191131852119,0.3920000205334572,1.1658522905715134,0.19941293288957132,uncertain / data-limited systems,1.0,robust
RUS,Russian Federation,1000,106,87,0.4507772020725389,-2.291457206539876,-2.9610336964049746,-1.523171943330431,0.3826113325622796,uncertain / data-limited systems,1.0,robust
CHL,Chile,1000,106,87,0.4507772020725389,-0.48812963476380616,-0.846148646949813,-0.08355846546363435,0.19759548433843713,structurally vulnerable systems,0.509,unstable
TUR,Turkiye,1000,106,87,0.4507772020725389,0.41161103248301506,-0.03705721148980816,0.8331358752262943,0.21650236467329453,uncertain / data-limited systems,1.0,robust
BRA,Brazil,1000,106,87,0.4507772020725389,-0.3226483747151475,-0.7117805981689375,0.029104062503612974,0.18129082686132786,structurally vulnerable systems,0.588,unstable
SRB,Serbia,1000,106,87,0.4507772020725389,-1.5560360452200768,-1.9884848814541836,-1.0937673509100028,0.23004207452178993,uncertain / data-limited systems,1.0,robust
MKD,North Macedonia,1000,106,87,0.4507772020725389,-1.920542521852684,-2.1985419925334613,-1.6385699825388294,0.14774916238268365,structurally vulnerable systems,0.681,unstable
CYP,Cyprus,1000,106,87,0.4507772020725389,0.38483058655537206,-0.20631993547037808,0.9457533085321682,0.2892132812134819,adaptive over-performers,0.581,unstable
BGR,Bulgaria,1000,106,87,0.4507772020725389,-2.8369853517705437,-3.3488349826453407,-2.247513473151709,0.288491785442338,uncertain / data-limited systems,1.0,robust
SGP,Singapore,1000,106,87,0.4507772020725389,-0.6053838173968829,-1.4630919488473781,0.09425404841425382,0.39550568866312363,uncertain / data-limited systems,1.0,robust
LVA,Latvia,1000,106,87,0.4507772020725389,-0.12302360112219315,-0.6618319411393648,0.47220456123096394,0.2864322851740655,uncertain / data-limited systems,1.0,robust
JOR,Jordan,1000,106,87,0.4507772020725389,-0.11824614187235852,-0.5610103948135499,0.3348507513376486,0.22198156291977755,uncertain / data-limited systems,1.0,robust
NIC,Nicaragua,1000,106,87,0.4507772020725389,-0.6465092741017157,-1.2454141556498395,-0.10496699284088318,0.2848812631393497,uncertain / data-limited systems,1.0,robust
TUN,Tunisia,1000,106,87,0.4507772020725389,-0.4304595410994815,-0.8524214921815763,-0.02674550405578092,0.21081220398934736,structurally vulnerable systems,0.64,unstable
IRN,"Iran, Islamic Rep.",1000,106,87,0.4507772020725389,-0.11611042822533586,-0.45459489860898444,0.21561685596608926,0.17882551420561543,structurally vulnerable systems,0.498,unstable
VCT,St. Vincent and the Grenadines,1000,106,87,0.4507772020725389,1.4620892182510463,0.9398817748175877,1.9766714231845008,0.2601225144566494,adaptive over-performers,0.741,unstable
ALB,Albania,1000,106,87,0.4507772020725389,-1.1321626161918106,-1.6324881105869515,-0.5775413561052456,0.2607015642712968,structurally vulnerable systems,0.735,unstable
UZB,Uzbekistan,1000,106,87,0.4507772020725389,1.0885097997925095,0.6010804352926319,1.672873844303886,0.27172866313433836,adaptive over-performers,0.788,robust
KNA,St. Kitts and Nevis,1000,106,87,0.4507772020725389,-1.652976813004214,-2.071639667485887,-1.177728241631752,0.2316556492425284,structurally vulnerable systems,0.796,robust
ECU,Ecuador,1000,106,87,0.4507772020725389,-1.1516500901135052,-1.6457031388219365,-0.6381705780606924,0.2586918376244331,structurally vulnerable systems,0.761,robust
BIH,Bosnia and Herzegovina,1000,106,87,0.4507772020725389,-1.0162350309871144,-1.4109300293296365,-0.5728281450990601,0.22228540319415035,structurally vulnerable systems,0.733,unstable
PSE,West Bank and Gaza,1000,106,87,0.4507772020725389,0.5281983727735964,0.01318974076361572,1.0718548465492521,0.26518040356050915,adaptive over-performers,0.794,robust
BRB,Barbados,1000,106,87,0.4507772020725389,1.1258625228536026,0.6118723018840511,1.6307258145631292,0.2721662552462217,adaptive over-performers,0.847,robust
THA,Thailand,1000,106,87,0.4507772020725389,0.54953198631224,0.025115344631975747,1.043950849718995,0.2527403919555369,uncertain / data-limited systems,1.0,robust
MDA,Moldova,1000,106,87,0.4507772020725389,-0.06113901591448309,-0.5006679110284634,0.3689015057222181,0.22474910925370556,uncertain / data-limited systems,1.0,robust
PAN,Panama,1000,106,87,0.4507772020725389,-0.23646480584152432,-0.7661092938126908,0.3090583070829729,0.2802225468271849,structurally vulnerable systems,0.644,unstable
GEO,Georgia,1000,106,87,0.4507772020725389,-0.9446166825728257,-1.3518444567816577,-0.46859587826769056,0.22558950495844626,uncertain / data-limited systems,1.0,robust
KGZ,Kyrgyz Republic,1000,106,87,0.4507772020725389,0.6701380624998676,0.17985760589863717,1.2533398300431253,0.26656706105530764,adaptive over-performers,0.891,robust
DZA,Algeria,1000,106,87,0.4507772020725389,-0.08338620519688675,-0.49364351833136216,0.3346786114389338,0.22209573552489423,structurally vulnerable systems,0.516,unstable
SLV,El Salvador,1000,106,87,0.4507772020725389,1.6585299996295304,1.138621587035688,2.1657722484217574,0.2573733257745254,adaptive over-performers,0.957,robust
MNE,Montenegro,1000,106,87,0.4507772020725389,-0.21901565119817712,-0.5931022493162557,0.22957361224242884,0.1967424450780765,uncertain / data-limited systems,1.0,robust
BLZ,Belize,1000,106,87,0.4507772020725389,0.6507628711683424,0.1603692464168236,1.0752420155536213,0.2310476298761603,uncertain / data-limited systems,1.0,robust
MYS,Malaysia,1000,106,87,0.4507772020725389,0.5408328162174028,0.18743541071367265,0.9499929981536711,0.188324226114157,adaptive over-performers,0.834,robust
