iso3,country,region,income_group,potential_capacity_score,potential_capacity_rank_point,median_potential_capacity_rank,potential_rank_p05,potential_rank_p95,top_quartile_probability,bottom_quartile_probability,method_disagreement_index,capacity_score,preparedness_score,vulnerability_score,equity_access_score,expanded_feature_missing_count,expanded_feature_missing_rate,n_valid_pipelines,n_countries_in_sample,n_indicators
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.7371535222427504,38,41.5,30.85,66.0,0.6333333333333333,0.0,0.1830729166666666,0.3453668031427175,0.9974899598393574,0.7977547814356623,0.8080025445532645,1,0.0384615384615384,60,193,26
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.7367604750619614,39,45.5,36.7,64.14999999999999,0.6,0.0,0.1429687499999999,0.395799648377058,0.9581999257779844,0.7128524493659094,0.880189876726894,1,0.0384615384615384,60,193,26
POL,Poland,Europe & Central Asia,High income,0.7355818926450353,40,43.0,35.0,45.0,1.0,0.0,0.0520833333333333,0.5407322335707355,0.9361927703656184,0.6856895491234622,0.7797130175203245,2,0.0769230769230769,60,193,26
GRC,Greece,Europe & Central Asia,High income,0.7354897896001756,41,44.0,36.95,80.05,0.7333333333333333,0.0,0.2244791666666666,0.5648799319924448,0.9824356150333362,0.737662296654285,0.6569813147206365,1,0.0384615384615384,60,193,26
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.7351618152881761,42,54.0,24.75,84.05,0.4666666666666667,0.0,0.3088541666666666,0.2724264016816877,0.9963626333844748,0.7426942829021415,0.9291639431844008,0,0.0,60,193,26
CRI,Costa Rica,Latin America & Caribbean ,High income,0.732177745182939,43,48.5,32.95,76.0,0.5,0.0,0.22421875,0.3614080256350851,0.9230029923788804,0.785519586875447,0.8587803758423436,0,0.0,60,193,26
BRN,Brunei Darussalam,East Asia & Pacific,High income,0.7283637268047207,44,45.5,17.95,74.05,0.5666666666666667,0.0,0.2921875,0.300471754304953,0.9412811415580636,0.7571481108901569,0.9145539004657092,2,0.0769230769230769,60,193,26
EST,Estonia,Europe & Central Asia,High income,0.7282265704440525,45,41.0,39.0,56.0,0.85,0.0,0.0885416666666666,0.5583626360146948,0.8684809203627931,0.7127758379727243,0.7732868874259978,1,0.0384615384615384,60,193,26
MCO,Monaco,Europe & Central Asia,High income,0.7274713370585578,46,31.0,4.95,82.79999999999995,0.7833333333333333,0.0,0.4054687499999997,0.5152531141750044,0.9250083556149732,0.6071172021856719,0.8625066762585814,5,0.1923076923076923,60,193,26
KOR,"Korea, Rep.",East Asia & Pacific,High income,0.7256044338064565,47,31.0,25.0,65.39999999999992,0.8333333333333334,0.0,0.2104166666666662,0.5926042318721941,0.937626831948221,0.6950238954767094,0.6771627759287008,2,0.0769230769230769,60,193,26
LTU,Lithuania,Europe & Central Asia,High income,0.7209567647541534,48,46.0,32.0,78.0,0.5,0.0,0.2395833333333333,0.6577686111667523,0.8925885911044664,0.6432972568930223,0.690172599852372,1,0.0384615384615384,60,193,26
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,0.7115913123640994,49,44.5,7.0,57.44999999999997,0.7166666666666667,0.0,0.2627604166666665,0.3794933092931326,0.9106087451409915,0.768588140659134,0.7876750543631399,1,0.0384615384615384,60,193,26
COL,Colombia,Latin America & Caribbean ,Upper middle income,0.7101912345859036,50,61.0,43.55,85.0,0.15,0.0,0.2158854166666666,0.354941997831947,0.8893699607554202,0.7619853913866848,0.8344675883695621,0,0.0,60,193,26
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,0.7090108830379578,51,57.0,37.0,65.0,0.2333333333333333,0.0,0.1458333333333333,0.4097274500671538,0.9305901961000154,0.6673311737790726,0.8283947122055891,0,0.0,60,193,26
ROU,Romania,Europe & Central Asia,High income,0.7028341438153161,52,50.0,43.95,55.0,0.4666666666666667,0.0,0.0575520833333333,0.5402628949409131,0.814117375244629,0.6551166902891886,0.8018396147865335,1,0.0384615384615384,60,193,26
SMR,San Marino,Europe & Central Asia,High income,0.7024569819118412,53,26.0,15.95,79.0,0.8833333333333333,0.0,0.3283854166666666,0.5360174970735537,0.8344615091381571,0.6157987426654815,0.8235501787701727,6,0.2307692307692307,60,193,26
PLW,Palau,East Asia & Pacific,High income,0.7024333390699563,54,52.0,36.0,66.0,0.25,0.0,0.15625,0.5362907085599046,0.8902700987864465,0.6075520147203979,0.7756205342130765,4,0.1538461538461538,60,193,26
SYC,Seychelles,Sub-Saharan Africa ,High income,0.7012259679387803,55,54.0,26.0,70.1,0.2333333333333333,0.0,0.2296874999999999,0.3418739572172526,0.9675630925312452,0.6947525826676225,0.8007142393390014,2,0.0769230769230769,60,193,26
RUS,Russian Federation,Europe & Central Asia,High income,0.6989983909344943,56,54.5,43.9,91.0,0.3333333333333333,0.0,0.2453125,0.5920132945094181,0.9396085264625544,0.5837960444941198,0.6805756982718847,2,0.0769230769230769,60,193,26
CHL,Chile,Latin America & Caribbean ,High income,0.6982007888708822,57,68.0,54.0,96.0,0.0,0.0,0.21875,0.4368623179100732,0.9197557906003184,0.7529887957924098,0.6831962511807274,1,0.0384615384615384,60,193,26
TON,Tonga,East Asia & Pacific,Upper middle income,0.6953209446132155,58,56.0,10.0,88.0,0.2666666666666666,0.0,0.40625,0.2563024879570035,0.975695576146483,0.7043985774546654,0.8448871368947101,2,0.0769230769230769,60,193,26
TUR,Turkiye,Europe & Central Asia,Upper middle income,0.6933497826738224,59,72.0,55.0,101.05,0.0166666666666666,0.0,0.23984375,0.2751721568793997,0.9576042105957356,0.7097883253054541,0.8308344379147002,2,0.0769230769230769,60,193,26
BRA,Brazil,Latin America & Caribbean ,Upper middle income,0.6888440212001339,60,62.5,53.95,82.0,0.0,0.0,0.14609375,0.4951594678053926,0.8271090286894579,0.7033599026092245,0.7297476856964605,1,0.0384615384615384,60,193,26
SRB,Serbia,Europe & Central Asia,Upper middle income,0.6885828777950316,61,60.5,49.95,94.1,0.05,0.0,0.2299479166666666,0.5668824894192857,0.8934190959424905,0.6337486862951238,0.6602812395232264,1,0.0384615384615384,60,193,26
TUV,Tuvalu,East Asia & Pacific,Upper middle income,0.6882539424419049,62,32.0,5.0,65.0,0.8333333333333334,0.0,0.3125,0.5312132856025258,0.8053901808714473,0.5212048692670842,0.8952074340265621,3,0.1153846153846153,60,193,26
MKD,North Macedonia,Europe & Central Asia,Upper middle income,0.687622500803049,63,63.0,57.9,76.05,0.0,0.0,0.09453125,0.4742074380793902,0.8439322654987391,0.6819603288603566,0.7503899707737098,0,0.0,60,193,26
CHN,China,East Asia & Pacific,Upper middle income,0.6868193062806881,64,76.5,60.0,87.19999999999999,0.0,0.0,0.1416666666666666,0.3203666621840635,0.9563534174379298,0.6890617319767195,0.7814954135240395,1,0.0384615384615384,60,193,26
CYP,Cyprus,Europe & Central Asia,High income,0.6867041272209746,65,65.5,56.85,88.1,0.0,0.0,0.1627604166666666,0.4030870152886168,0.9172025269884388,0.8157477202878922,0.6107792463189511,2,0.0769230769230769,60,193,26
