iso3,country,region,income_group,potential_capacity_score,capacity_score,preparedness_score,vulnerability_score,equity_access_score,method_disagreement_index,expanded_feature_missing_rate,evidence_variant,outcome,observed_outcome,predicted_outcome,realized_resilience_gap,conversion_efficiency_zscore,observed_shock_burden,conversion_profile,main_bottleneck_block,n,coverage_count,missing_count_from_potential_capacity_sample,missing_rate_from_potential_capacity_sample,missing_count,missing_rate,source_indicator,source_provenance,higher_is_worse
LUX,Luxembourg,Europe & Central Asia,High income,0.8161753266508913,0.6792069728068933,0.9896118582899992,0.7630458643046747,0.8328366112019977,0.0679687499999999,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.4951219512195024,1.393914115320602,-0.8987921641010996,0.5489264063265343,0.4951219512195024,capacity under-realizers,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
CZE,Czechia,Europe & Central Asia,High income,0.8097716791500749,0.7306943708589259,0.9562019417740776,0.7031982734362339,0.8489921305310624,0.03671875,0.0769230769230769,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,1.002439024390199,0.8715999182067101,0.13083910618348893,-0.07990839621538987,1.002439024390199,capacity under-realizers,vulnerability,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
USA,United States,North America,High income,0.8057357451635478,0.8550311559518963,0.9138985755857656,0.7324631956840566,0.721550053432473,0.1007812499999998,0.0769230769230769,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,1.807317073170708,0.5261581712213773,1.2811589019493308,-0.7824522509980286,1.807317073170708,capacity under-realizers,equity_access,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
SVN,Slovenia,Europe & Central Asia,High income,0.805722499678827,0.6779266272763665,0.9339615960818666,0.773573339196457,0.8374284361606179,0.0992187499999999,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.9975609756097015,0.9288744225440201,0.06868655306568139,-0.04194947869289633,0.9975609756097015,capacity under-realizers,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
NZL,New Zealand,East Asia & Pacific,High income,0.8030950622595759,0.6743030036937113,0.9187125225851258,0.793972891705199,0.8253918310542672,0.0583333333333333,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,-0.20000000000000284,0.3262229086980216,-0.5262229086980245,0.32138425515446606,-0.20000000000000284,effective converters,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
CHE,Switzerland,Europe & Central Asia,High income,0.803058382240651,0.8352090043731014,0.9483929944940565,0.7646785951566378,0.6639529349388084,0.1825520833333333,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.9048780487805033,1.1172575304619337,-0.2123794816814304,0.12970819096256184,0.9048780487805033,capacity under-realizers,equity_access,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
IRL,Ireland,Europe & Central Asia,High income,0.8006104333369206,0.694201995616675,0.9240148867420244,0.8315798802336001,0.7526449707553831,0.0523437499999999,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.24634146341469432,1.3074997489070643,-1.06115828549237,0.6480895444627303,0.24634146341469432,effective converters,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
CAN,Canada,North America,High income,0.7994145925547239,0.751060450017869,0.8882866246726704,0.7919311320519059,0.7663801634764503,0.0520833333333333,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.6285365853658931,0.26490977458125775,0.3636268107846353,-0.22208066164842113,0.6285365853658931,capacity under-realizers,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
NLD,Netherlands,Europe & Central Asia,High income,0.7966718819180485,0.7946422085942241,0.9332033521228416,0.6649056239430973,0.7939363430120309,0.0765624999999998,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.7536585365853057,1.0317672522291947,-0.27810871564388906,0.1698515229037045,0.7536585365853057,capacity under-realizers,vulnerability,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
MDV,Maldives,South Asia,Upper middle income,0.7861726319518041,0.5428082750870333,0.9702682370087844,0.7980405859266773,0.8335734297847213,0.2039062499999999,0.0,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.9939999999999998,1.5976490326624349,-0.6036490326624351,0.36867132070880704,0.9939999999999998,uncertain / data-limited systems,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
