iso3,country,profile_label,profile_stability_score,profile_stability_probability,conversion_efficiency_zscore,conversion_efficiency_ci_low,conversion_efficiency_ci_high,observed_shock_burden,predicted_shock_burden,expected_shock_burden,realized_resilience_gap,potential_capacity_score,capacity_block_score,preparedness_block_score,vulnerability_block_score,equity_access_block_score,main_bottleneck_block,bottleneck_probability,missingness_rate,validation_outcomes_available,country_label_category,label_stability_rate,diagnostic_note,n,coverage_count,missing_count,missing_rate,source_provenance
PSE,West Bank and Gaza,adaptive over-performers,0.96,0.96,0.4050347160567432,-0.0510873580578508,0.9009079924172012,922.9372,1573.9010525240276,1573.9010525240276,-650.9638525240276,0.6587017614512714,0.3176807706933734,0.9877450980392156,0.6045379500737209,0.7248432269987758,vulnerability,1.0,0.0384615384615384,OWID excess mortality; life expectancy loss,evidence-dependent label,0.3333333333333333,"Diagnostic profile: adaptive over-performers; weakest observed block is capacity; main bottleneck signal is vulnerability. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv
DZA,Algeria,structurally vulnerable systems,0.557,0.557,-0.0257879676045457,-0.4546107075665642,0.3245972427435784,2952.565,2911.11908419295,2911.11908419295,41.44591580704992,0.6490773240471281,0.2542673301460795,0.8443272353045255,0.7553194495008495,0.7423952812370581,capacity,1.0,0.0,OWID excess mortality; life expectancy loss,evidence-dependent label,0.3333333333333333,"Diagnostic profile: structurally vulnerable systems; weakest observed block is capacity; main bottleneck signal is capacity. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv
MNG,Mongolia,adaptive over-performers,1.0,1.0,2.432192655157404,1.6512994699080343,3.2228075109870584,211.21863,4120.190967719567,4120.190967719567,-3908.9723377195673,0.6032546228987976,0.4314765764284001,0.7677104522967445,0.5775556570056546,0.6362758058643913,vulnerability,1.0,0.0,OWID excess mortality; life expectancy loss,evidence-dependent label,0.6666666666666666,"Diagnostic profile: adaptive over-performers; weakest observed block is capacity; main bottleneck signal is vulnerability. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv
CHL,Chile,capacity under-realizers,1.0,1.0,-0.4843600852495627,-0.8174899512977302,-0.1292052365520603,3120.594,2342.1399697564534,2342.1399697564534,778.4540302435466,0.6982007888708822,0.4368623179100732,0.9197557906003184,0.7529887957924098,0.6831962511807274,capacity,1.0,0.0384615384615384,OWID excess mortality; life expectancy loss,evidence-dependent label,0.6666666666666666,"Diagnostic profile: capacity under-realizers; weakest observed block is capacity; main bottleneck signal is capacity. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv
ATG,Antigua and Barbuda,uncertain / data-limited systems,1.0,1.0,1.1536533611423352,0.5959162739344914,1.546971530962129,-654.30273,1199.8263277701965,1199.8263277701965,-1854.129057770196,0.7115913123640994,0.3794933092931326,0.9106087451409915,0.768588140659134,0.7876750543631399,capacity,1.0,0.0384615384615384,OWID excess mortality; life expectancy loss,data-limited,1.0,"Diagnostic profile: uncertain / data-limited systems; weakest observed block is capacity; main bottleneck signal is capacity. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv
LTU,Lithuania,uncertain / data-limited systems,1.0,1.0,-2.3127216878494723,-2.554613094647616,-1.8266805860105653,8358.042,4641.0810579965655,4641.0810579965655,3716.960942003434,0.7209567647541534,0.6577686111667523,0.8925885911044664,0.6432972568930223,0.690172599852372,equity_access,0.63,0.0384615384615384,OWID excess mortality; life expectancy loss,data-limited,1.0,"Diagnostic profile: uncertain / data-limited systems; weakest observed block is vulnerability; main bottleneck signal is equity_access. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv
ARM,Armenia,uncertain / data-limited systems,1.0,1.0,-1.948283078005972,-2.158577183847331,-1.5894174345208478,8041.9443,4910.701944743561,4910.701944743561,3131.2423552564387,0.6346016951006593,0.4732849256029421,0.9163214042247854,0.6415149075582738,0.5072855430166362,equity_access,0.837,0.0,OWID excess mortality; life expectancy loss,data-limited,1.0,"Diagnostic profile: uncertain / data-limited systems; weakest observed block is capacity; main bottleneck signal is equity_access. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv
SRB,Serbia,uncertain / data-limited systems,1.0,1.0,-1.633899587921958,-1.969489537554737,-1.1573569113683824,8464.41,5838.438624642402,5838.438624642402,2625.971375357598,0.6885828777950316,0.5668824894192857,0.8934190959424905,0.6337486862951238,0.6602812395232264,equity_access,0.966,0.0384615384615384,OWID excess mortality; life expectancy loss,data-limited,1.0,"Diagnostic profile: uncertain / data-limited systems; weakest observed block is capacity; main bottleneck signal is equity_access. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv
