iso3,country,profile_label,profile_stability_score,profile_stability_probability,conversion_efficiency_zscore,conversion_efficiency_ci_low,conversion_efficiency_ci_high,observed_shock_burden,predicted_shock_burden,expected_shock_burden,realized_resilience_gap,potential_capacity_score,capacity_block_score,preparedness_block_score,vulnerability_block_score,equity_access_block_score,main_bottleneck_block,bottleneck_probability,missingness_rate,validation_outcomes_available,country_label_category,label_stability_rate,diagnostic_note,n,coverage_count,missing_count,missing_rate,source_provenance
DOM,Dominican Republic,adaptive over-performers,1.0,1.0,1.5073829326411707,1.0742571435283093,1.842400203459632,907.20123,3329.837518104242,3329.837518104242,-2422.636288104242,0.5691724008936305,0.1833018379392382,0.7568322344837783,0.6245700681687736,0.7119854629827318,capacity,1.0,0.0,OWID excess mortality; life expectancy loss,stable over-performer,1.0,"Diagnostic profile: adaptive over-performers; weakest observed block is capacity; main bottleneck signal is capacity. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv
SUR,Suriname,adaptive over-performers,0.961,0.961,0.4706846741780459,-0.05314777624638,1.1324809775744389,3481.618,4238.093177757436,4238.093177757436,-756.4751777574361,0.5820331620334881,0.3039261044589958,0.6108436046278103,0.6270112389349571,0.7863517001121891,preparedness,1.0,0.0,OWID excess mortality; life expectancy loss,stable over-performer,1.0,"Diagnostic profile: adaptive over-performers; weakest observed block is capacity; main bottleneck signal is preparedness. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv
BHS,"Bahamas, The",adaptive over-performers,0.943,0.943,0.3320929275655985,-0.0409075326006693,0.813201011253992,2630.4177,3164.150940520052,3164.150940520052,-533.7332405200523,0.6272271607997593,0.3548022405378866,0.8258192258773593,0.6158999980284617,0.7123871787553294,capacity,1.0,0.0384615384615384,OWID excess mortality; life expectancy loss,stable over-performer,1.0,"Diagnostic profile: adaptive over-performers; weakest observed block is capacity; main bottleneck signal is capacity. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv
