iso3,country,region,income_group,conversion_profile,profile_rule,potential_capacity_score,observed_shock_burden,predicted_shock_burden,realized_resilience_gap,conversion_efficiency_zscore,conversion_efficiency_percentile,capacity_score,preparedness_score,vulnerability_score,equity_access_score,method_disagreement_index,expanded_feature_missing_rate,n_validation_countries,profile_n,profile_missing_rate_mean
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.7367604750619614,1601.9636,366.40982104372324,1235.5537789562768,-0.7687710647710952,-0.29245283018867924,0.395799648377058,0.9581999257779844,0.7128524493659094,0.880189876726894,0.1429687499999999,0.0384615384615384,106,23,0.04180602006688959
COL,Colombia,Latin America & Caribbean ,Upper middle income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.7101912345859036,3685.9177,2429.738410504582,1256.1792894954178,-0.781604416073713,-0.38679245283018865,0.354941997831947,0.8893699607554202,0.7619853913866848,0.8344675883695621,0.2158854166666666,0.0,106,23,0.04180602006688959
ROU,Romania,Europe & Central Asia,High income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.7028341438153161,5864.2363,4361.324726500807,1502.9115734991929,-0.9351231409706718,-0.028301886792452824,0.5402628949409131,0.814117375244629,0.6551166902891886,0.8018396147865335,0.0575520833333333,0.0384615384615384,106,23,0.04180602006688959
HRV,Croatia,Europe & Central Asia,High income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.7692249571651889,5616.296,4035.7770592755655,1580.5189407244347,-0.9834110417905211,-0.1132075471698113,0.5929113746534783,0.9152107996414532,0.7116733195238027,0.8571043348420216,0.0682291666666666,0.0384615384615384,106,23,0.04180602006688959
USA,United States,North America,High income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.8057357451635478,3758.817,1804.0498317086053,1954.7671682913947,-1.2162711675864122,-0.48113207547169806,0.8550311559518963,0.9138985755857656,0.7324631956840566,0.721550053432473,0.1007812499999998,0.0769230769230769,106,23,0.04180602006688959
SVK,Slovak Republic,Europe & Central Asia,High income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.7754658787366955,5343.659,3088.583458626464,2255.0755413735355,-1.4031253471989393,-0.34905660377358494,0.5938029528903954,0.962316136506726,0.7173988313513748,0.8283455941982859,0.0942708333333333,0.0384615384615384,106,23,0.04180602006688959
BLR,Belarus,Europe & Central Asia,Upper middle income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.751985191892442,9591.885,4875.089768000801,4716.795231999199,-2.934826273506603,-0.07547169811320753,0.6506495746089037,0.9549718293872288,0.6122043999499703,0.7901149636236653,0.0885416666666666,0.0769230769230769,106,23,0.04180602006688959
DNK,Denmark,Europe & Central Asia,High income,effective converters,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.8339455876296181,674.96173,2984.4210130255883,-2309.4592830255883,1.4369633295580748,0.37735849056603776,0.8524434355787608,0.95256787051843,0.728529526762817,0.8022415176584646,0.0833333333333333,0.0384615384615384,106,20,0.0538461538461538
JPN,Japan,East Asia & Pacific,High income,effective converters,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.8428422797911096,859.7607,3114.2401415601903,-2254.47944156019,1.4027544493100577,0.4528301886792453,0.8801047100926818,0.959470696947852,0.7014535847653254,0.8303401273585788,0.0427083333333332,0.0769230769230769,106,20,0.0538461538461538
LUX,Luxembourg,Europe & Central Asia,High income,effective converters,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.8161753266508913,-259.57343,1796.0006700275108,-2055.5741000275107,1.2789940158889337,0.169811320754717,0.6792069728068933,0.9896118582899992,0.7630458643046747,0.8328366112019977,0.0679687499999999,0.0384615384615384,106,20,0.0538461538461538
FIN,Finland,Europe & Central Asia,High income,effective converters,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.8177702742189719,1876.0293,3636.311748378223,-1760.282448378223,1.095261278939026,0.3018867924528301,0.7847361384939117,0.9205143361449236,0.7855510164736608,0.7802796057633915,0.0520833333333333,0.0769230769230769,106,20,0.0538461538461538
