iso3,country,preparedness_score,ghs_overall_2019,ghs_prevention_2019,ghs_detection_2019,ghs_response_2019,ghs_health_system_2019,ghs_compliance_2019,ghs_risk_environment_2019,ghs_overall_2019_scaled,ghs_prevention_2019_scaled,ghs_detection_2019_scaled,ghs_response_2019_scaled,ghs_health_system_2019_scaled,ghs_compliance_2019_scaled,ghs_risk_environment_2019_scaled,ghs_only_preparedness_score,preparedness_proxy_plus_ghs_score,n,coverage_count,missing_count,missing_rate
NOR,Norway,0.962615262387194,61.4,49.6,52.5,68.1,45.1,64.8,88.2,0.7461406518010291,0.6153846153846154,0.6310096153846153,0.7788778877887788,0.5926928281461434,0.704663212435233,1.0,0.7241098301343449,0.8433625462607695,193,189,4,0.020725388601036232
DEU,Germany,0.938569393744255,65.7,49.1,70.3,68.0,53.7,70.8,82.5,0.8198970840480274,0.609181141439206,0.844951923076923,0.7772277227722773,0.7090663058186739,0.8082901554404144,0.9109375,0.7827931189422175,0.8606812563432362,193,189,4,0.020725388601036232
SWE,Sweden,0.9787664702575456,66.4,80.6,64.6,46.1,53.6,69.4,83.8,0.8319039451114923,1.0,0.7764423076923076,0.4158415841584159,0.7077131258457375,0.7841105354058722,0.9312499999999999,0.7781802140305464,0.878473342144046,193,189,4,0.020725388601036232
JPN,Japan,0.959470696947852,58.8,47.2,56.1,63.1,49.3,66.7,70.3,0.7015437392795882,0.5856079404466502,0.6742788461538461,0.6963696369636964,0.6495263870094722,0.7374784110535406,0.7203124999999999,0.6807310658438277,0.8201008813958399,193,189,4,0.020725388601036232
FRA,France,0.9149891975859356,62.6,62.7,45.1,56.2,68.1,61.1,82.6,0.7667238421955404,0.7779156327543425,0.5420673076923077,0.5825082508250826,0.9039242219215154,0.6407599309153713,0.9124999999999999,0.7323427409005943,0.8236659692432649,193,189,4,0.020725388601036232
AUS,Australia,0.9423188888894608,73.2,68.5,79.6,68.5,66.9,76.4,79.5,0.9485420240137221,0.8498759305210919,0.9567307692307692,0.7854785478547854,0.8876860622462788,0.9050086355785838,0.8640625,0.8853406384921759,0.9138297636908184,193,189,4,0.020725388601036232
CUB,Cuba,0.978327822018152,32.3,30.7,6.8,35.4,17.1,46.7,57.3,0.24699828473413374,0.380893300248139,0.08173076923076923,0.23927392739273926,0.21380243572395127,0.3920552677029361,0.5171874999999999,0.2959916407189526,0.6371597313685523,193,189,4,0.020725388601036232
DNK,Denmark,0.95256787051843,67.3,67.7,60.4,78.1,59.7,56.9,80.9,0.8473413379073755,0.8399503722084368,0.7259615384615384,0.9438943894389438,0.790257104194858,0.5682210708117443,0.8859375,0.8002233304318424,0.8763956004751361,193,189,4,0.020725388601036232
BEL,Belgium,0.9679362773203304,61.9,57.5,52.9,57.5,64.3,60.6,78.4,0.7547169811320754,0.7133995037220844,0.6358173076923076,0.6039603960396039,0.8525033829499322,0.6321243523316061,0.846875,0.7199138462668013,0.8439250617935659,193,189,4,0.020725388601036232
AUT,Austria,0.8979830596659448,57.4,53.3,38.8,47.9,54.0,63.9,86.5,0.6775300171526586,0.6612903225806451,0.4663461538461538,0.44554455445544555,0.713125845737483,0.6891191709844559,0.9734375,0.6609133663938345,0.7794482130298896,193,189,4,0.020725388601036232
ISL,Iceland,0.91199171686747,47.6,33.2,32.2,44.8,47.5,46.9,80.7,0.5094339622641509,0.41191066997518616,0.3870192307692308,0.39438943894389433,0.625169147496617,0.39550949913644207,0.8828125,0.5151777783693602,0.7135847476184152,193,189,4,0.020725388601036232
FIN,Finland,0.9205143361449236,72.0,61.6,65.4,81.5,64.1,77.8,81.4,0.9279588336192109,0.7642679900744418,0.7860576923076924,1.0,0.8497970230040595,0.9291882556131259,0.89375,0.8787171135169329,0.8996157248309282,193,189,4,0.020725388601036232
LUX,Luxembourg,0.9896118582899992,48.6,30.3,33.3,51.0,36.8,55.6,84.4,0.5265866209262435,0.37593052109181146,0.4002403846153846,0.4966996699669967,0.48037889039242215,0.5457685664939551,0.940625,0.5380328076409734,0.7638223329654863,193,189,4,0.020725388601036232
CZE,Czechia,0.9562019417740776,55.0,46.7,37.8,55.3,55.8,59.2,75.0,0.6363636363636364,0.5794044665012408,0.454326923076923,0.5676567656765676,0.7374830852503382,0.6079447322970639,0.79375,0.6252756584522529,0.7907388001131652,193,189,4,0.020725388601036232
USA,United States,0.9138985755857656,76.2,78.6,75.3,72.8,75.2,81.9,73.7,1.0,0.9751861042183623,0.9050480769230769,0.8564356435643564,1.0,1.0,0.7734375,0.930015332100828,0.9219569538432968,193,189,4,0.020725388601036232
SVN,Slovenia,0.9339615960818666,68.6,66.2,66.7,64.2,65.7,76.4,72.7,0.8696397941680959,0.8213399503722085,0.8016826923076923,0.7145214521452146,0.871447902571042,0.9050086355785838,0.7578125,0.8202075610204054,0.877084578551136,193,189,4,0.020725388601036232
NZL,New Zealand,0.9187125225851258,55.8,48.4,47.6,55.3,46.6,59.7,76.9,0.6500857632933104,0.6004962779156328,0.5721153846153846,0.5676567656765676,0.6129905277401895,0.616580310880829,0.8234375,0.634766075731702,0.7767392991584139,193,189,4,0.020725388601036232
CHE,Switzerland,0.9483929944940565,60.4,50.2,38.3,71.3,50.9,68.1,83.9,0.7289879931389365,0.6228287841191068,0.46033653846153844,0.8316831683168316,0.6711772665764546,0.7616580310880827,0.9328125,0.7156406116715643,0.8320168030828103,193,189,4,0.020725388601036232
