iso3,country,region,income_group,potential_capacity_score,potential_capacity_rank_point,median_potential_capacity_rank,potential_rank_p05,potential_rank_p95,top_quartile_probability,bottom_quartile_probability,method_disagreement_index,capacity_score,preparedness_score,vulnerability_score,equity_access_score,expanded_feature_missing_count,expanded_feature_missing_rate,n_valid_pipelines,n_countries_in_sample,n_indicators,ghs_overall_2019,ghs_prevention_2019,ghs_detection_2019,ghs_response_2019,ghs_health_system_2019,ghs_compliance_2019,ghs_risk_environment_2019,ghs_overall_2019_scaled,ghs_prevention_2019_scaled,ghs_detection_2019_scaled,ghs_response_2019_scaled,ghs_health_system_2019_scaled,ghs_compliance_2019_scaled,ghs_risk_environment_2019_scaled,ghs_only_preparedness_score,preparedness_proxy_plus_ghs_score,n,coverage_count,missing_count,missing_rate,source_provenance
ISL,Iceland,Europe & Central Asia,High income,0.8197837824330648,11,13.0,6.0,17.0,1.0,0.0,0.0572916666666666,0.7553247390699022,0.91199171686747,0.8111782215564786,0.800640452238409,1,0.0384615384615384,60,193,26,47.6,33.2,32.2,44.8,47.5,46.9,80.7,0.5094339622641509,0.41191066997518616,0.3870192307692308,0.39438943894389433,0.625169147496617,0.39550949913644207,0.8828125,0.5151777783693602,0.7135847476184152,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
FIN,Finland,Europe & Central Asia,High income,0.8177702742189719,12,14.0,10.0,20.0,1.0,0.0,0.0520833333333333,0.7847361384939117,0.9205143361449236,0.7855510164736608,0.7802796057633915,2,0.0769230769230769,60,193,26,72.0,61.6,65.4,81.5,64.1,77.8,81.4,0.9279588336192109,0.7642679900744418,0.7860576923076924,1.0,0.8497970230040595,0.9291882556131259,0.89375,0.8787171135169329,0.8996157248309282,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
LUX,Luxembourg,Europe & Central Asia,High income,0.8161753266508913,13,15.5,7.0,20.05,1.0,0.0,0.0679687499999999,0.6792069728068933,0.9896118582899992,0.7630458643046747,0.8328366112019977,1,0.0384615384615384,60,193,26,48.6,30.3,33.3,51.0,36.8,55.6,84.4,0.5265866209262435,0.37593052109181146,0.4002403846153846,0.4966996699669967,0.48037889039242215,0.5457685664939551,0.940625,0.5380328076409734,0.7638223329654863,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
CZE,Czechia,Europe & Central Asia,High income,0.8097716791500749,14,20.0,14.95,22.0,1.0,0.0,0.03671875,0.7306943708589259,0.9562019417740776,0.7031982734362339,0.8489921305310624,2,0.0769230769230769,60,193,26,55.0,46.7,37.8,55.3,55.8,59.2,75.0,0.6363636363636364,0.5794044665012408,0.454326923076923,0.5676567656765676,0.7374830852503382,0.6079447322970639,0.79375,0.6252756584522529,0.7907388001131652,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
USA,United States,North America,High income,0.8057357451635478,15,9.0,1.0,20.34999999999998,1.0,0.0,0.1007812499999998,0.8550311559518963,0.9138985755857656,0.7324631956840566,0.721550053432473,2,0.0769230769230769,60,193,26,76.2,78.6,75.3,72.8,75.2,81.9,73.7,1.0,0.9751861042183623,0.9050480769230769,0.8564356435643564,1.0,1.0,0.7734375,0.930015332100828,0.9219569538432968,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
SVN,Slovenia,Europe & Central Asia,High income,0.805722499678827,16,18.0,4.0,23.05,1.0,0.0,0.0992187499999999,0.6779266272763665,0.9339615960818666,0.773573339196457,0.8374284361606179,1,0.0384615384615384,60,193,26,68.6,66.2,66.7,64.2,65.7,76.4,72.7,0.8696397941680959,0.8213399503722085,0.8016826923076923,0.7145214521452146,0.871447902571042,0.9050086355785838,0.7578125,0.8202075610204054,0.877084578551136,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
NZL,New Zealand,East Asia & Pacific,High income,0.8030950622595759,17,22.5,13.85,25.05,1.0,0.0,0.0583333333333333,0.6743030036937113,0.9187125225851258,0.793972891705199,0.8253918310542672,1,0.0384615384615384,60,193,26,55.8,48.4,47.6,55.3,46.6,59.7,76.9,0.6500857632933104,0.6004962779156328,0.5721153846153846,0.5676567656765676,0.6129905277401895,0.616580310880829,0.8234375,0.634766075731702,0.7767392991584139,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
CHE,Switzerland,Europe & Central Asia,High income,0.803058382240651,18,14.0,2.95,38.0,1.0,0.0,0.1825520833333333,0.8352090043731014,0.9483929944940565,0.7646785951566378,0.6639529349388084,1,0.0384615384615384,60,193,26,60.4,50.2,38.3,71.3,50.9,68.1,83.9,0.7289879931389365,0.6228287841191068,0.46033653846153844,0.8316831683168316,0.6711772665764546,0.7616580310880827,0.9328125,0.7156406116715643,0.8320168030828103,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
IRL,Ireland,Europe & Central Asia,High income,0.8006104333369206,19,15.0,7.0,17.049999999999997,1.0,0.0,0.0523437499999999,0.694201995616675,0.9240148867420244,0.8315798802336001,0.7526449707553831,1,0.0384615384615384,60,193,26,55.1,52.9,49.9,43.9,49.3,55.6,78.9,0.6380789022298456,0.6563275434243176,0.5997596153846153,0.3795379537953795,0.6495263870094722,0.5457685664939551,0.8546875,0.617669495476798,0.7708421911094112,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
CAN,Canada,North America,High income,0.7994145925547239,20,20.0,17.0,27.0,1.0,0.0,0.0520833333333333,0.751060450017869,0.8882866246726704,0.7919311320519059,0.7663801634764503,1,0.0384615384615384,60,193,26,67.6,69.8,64.6,50.0,65.0,75.0,81.3,0.8524871355060033,0.8660049627791564,0.7764423076923076,0.48019801980198024,0.8619756427604871,0.8808290155440414,0.8921874999999999,0.8014463691548538,0.844866496913762,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
