iso3,country,profile,profile_probability,n_simulations,coverage_count,missing_count_from_potential_capacity_sample,missing_rate_from_potential_capacity_sample
CHE,Switzerland,structurally vulnerable systems,0.003,1000,106,87,0.4507772020725389
CHE,Switzerland,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
IRL,Ireland,effective converters,0.67,1000,106,87,0.4507772020725389
IRL,Ireland,capacity under-realizers,0.313,1000,106,87,0.4507772020725389
IRL,Ireland,adaptive over-performers,0.015,1000,106,87,0.4507772020725389
IRL,Ireland,structurally vulnerable systems,0.002,1000,106,87,0.4507772020725389
IRL,Ireland,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
CAN,Canada,effective converters,0.944,1000,106,87,0.4507772020725389
CAN,Canada,capacity under-realizers,0.01,1000,106,87,0.4507772020725389
CAN,Canada,adaptive over-performers,0.045,1000,106,87,0.4507772020725389
CAN,Canada,structurally vulnerable systems,0.001,1000,106,87,0.4507772020725389
CAN,Canada,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
NLD,Netherlands,effective converters,0.92,1000,106,87,0.4507772020725389
NLD,Netherlands,capacity under-realizers,0.009,1000,106,87,0.4507772020725389
NLD,Netherlands,adaptive over-performers,0.071,1000,106,87,0.4507772020725389
NLD,Netherlands,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
NLD,Netherlands,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
MDV,Maldives,effective converters,0.075,1000,106,87,0.4507772020725389
MDV,Maldives,capacity under-realizers,0.913,1000,106,87,0.4507772020725389
MDV,Maldives,adaptive over-performers,0.002,1000,106,87,0.4507772020725389
MDV,Maldives,structurally vulnerable systems,0.01,1000,106,87,0.4507772020725389
MDV,Maldives,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
GBR,United Kingdom,effective converters,0.0,1000,106,87,0.4507772020725389
GBR,United Kingdom,capacity under-realizers,0.956,1000,106,87,0.4507772020725389
GBR,United Kingdom,adaptive over-performers,0.043,1000,106,87,0.4507772020725389
GBR,United Kingdom,structurally vulnerable systems,0.001,1000,106,87,0.4507772020725389
GBR,United Kingdom,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
ESP,Spain,effective converters,0.0,1000,106,87,0.4507772020725389
ESP,Spain,capacity under-realizers,0.959,1000,106,87,0.4507772020725389
ESP,Spain,adaptive over-performers,0.039,1000,106,87,0.4507772020725389
ESP,Spain,structurally vulnerable systems,0.002,1000,106,87,0.4507772020725389
ESP,Spain,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
SVK,Slovak Republic,effective converters,0.0,1000,106,87,0.4507772020725389
SVK,Slovak Republic,capacity under-realizers,0.978,1000,106,87,0.4507772020725389
SVK,Slovak Republic,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
SVK,Slovak Republic,structurally vulnerable systems,0.022,1000,106,87,0.4507772020725389
SVK,Slovak Republic,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
PRT,Portugal,effective converters,0.0,1000,106,87,0.4507772020725389
PRT,Portugal,capacity under-realizers,0.895,1000,106,87,0.4507772020725389
PRT,Portugal,adaptive over-performers,0.102,1000,106,87,0.4507772020725389
PRT,Portugal,structurally vulnerable systems,0.003,1000,106,87,0.4507772020725389
PRT,Portugal,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
HRV,Croatia,effective converters,0.0,1000,106,87,0.4507772020725389
HRV,Croatia,capacity under-realizers,0.958,1000,106,87,0.4507772020725389
HRV,Croatia,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
HRV,Croatia,structurally vulnerable systems,0.042,1000,106,87,0.4507772020725389
HRV,Croatia,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
AND,Andorra,effective converters,0.971,1000,106,87,0.4507772020725389
AND,Andorra,capacity under-realizers,0.008,1000,106,87,0.4507772020725389
AND,Andorra,adaptive over-performers,0.021,1000,106,87,0.4507772020725389
AND,Andorra,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
AND,Andorra,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
ITA,Italy,effective converters,0.0,1000,106,87,0.4507772020725389
ITA,Italy,capacity under-realizers,0.9,1000,106,87,0.4507772020725389
ITA,Italy,adaptive over-performers,0.016,1000,106,87,0.4507772020725389
ITA,Italy,structurally vulnerable systems,0.084,1000,106,87,0.4507772020725389
ITA,Italy,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
URY,Uruguay,effective converters,0.903,1000,106,87,0.4507772020725389
URY,Uruguay,capacity under-realizers,0.002,1000,106,87,0.4507772020725389
URY,Uruguay,adaptive over-performers,0.095,1000,106,87,0.4507772020725389
URY,Uruguay,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
URY,Uruguay,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
BLR,Belarus,effective converters,0.0,1000,106,87,0.4507772020725389
BLR,Belarus,capacity under-realizers,0.807,1000,106,87,0.4507772020725389
BLR,Belarus,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
BLR,Belarus,structurally vulnerable systems,0.193,1000,106,87,0.4507772020725389
BLR,Belarus,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
QAT,Qatar,effective converters,0.03,1000,106,87,0.4507772020725389
QAT,Qatar,capacity under-realizers,0.709,1000,106,87,0.4507772020725389
QAT,Qatar,adaptive over-performers,0.025,1000,106,87,0.4507772020725389
QAT,Qatar,structurally vulnerable systems,0.236,1000,106,87,0.4507772020725389
QAT,Qatar,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
ISR,Israel,effective converters,0.528,1000,106,87,0.4507772020725389
ISR,Israel,capacity under-realizers,0.408,1000,106,87,0.4507772020725389
ISR,Israel,adaptive over-performers,0.05,1000,106,87,0.4507772020725389
ISR,Israel,structurally vulnerable systems,0.014,1000,106,87,0.4507772020725389
ISR,Israel,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
MLT,Malta,effective converters,0.0,1000,106,87,0.4507772020725389
MLT,Malta,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
MLT,Malta,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
MLT,Malta,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
MLT,Malta,uncertain / data-limited systems,1.0,1000,106,87,0.4507772020725389
HUN,Hungary,effective converters,0.0,1000,106,87,0.4507772020725389
HUN,Hungary,capacity under-realizers,0.781,1000,106,87,0.4507772020725389
HUN,Hungary,adaptive over-performers,0.178,1000,106,87,0.4507772020725389
HUN,Hungary,structurally vulnerable systems,0.041,1000,106,87,0.4507772020725389
HUN,Hungary,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
ARG,Argentina,effective converters,0.0,1000,106,87,0.4507772020725389
ARG,Argentina,capacity under-realizers,0.693,1000,106,87,0.4507772020725389
ARG,Argentina,adaptive over-performers,0.019,1000,106,87,0.4507772020725389
ARG,Argentina,structurally vulnerable systems,0.288,1000,106,87,0.4507772020725389
ARG,Argentina,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
ARE,United Arab Emirates,effective converters,0.013,1000,106,87,0.4507772020725389
ARE,United Arab Emirates,capacity under-realizers,0.756,1000,106,87,0.4507772020725389
ARE,United Arab Emirates,adaptive over-performers,0.007,1000,106,87,0.4507772020725389
ARE,United Arab Emirates,structurally vulnerable systems,0.224,1000,106,87,0.4507772020725389
ARE,United Arab Emirates,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
KWT,Kuwait,effective converters,0.0,1000,106,87,0.4507772020725389
