iso3,country,region,income_group,population_total,gdp_per_capita_ppp,expanded_feature_missing_count,expanded_feature_missing_rate,capacity_score,capacity_rank,capacity_n_indicators,capacity_missing_rate,equity_access_score,equity_access_rank,equity_access_n_indicators,equity_access_missing_rate,preparedness_score,preparedness_rank,preparedness_n_indicators,preparedness_missing_rate,vulnerability_score,vulnerability_rank,vulnerability_n_indicators,vulnerability_missing_rate,full_potential_capacity_score,full_potential_capacity_rank,n_countries_in_expanded_sample,n_expanded_indicators
FIN,Finland,Europe & Central Asia,High income,5504035.8,55110.63397077496,2,0.0769230769230769,0.7847361384939117,14,6,0.0,0.7802796057633915,47,7,0.14285714285714285,0.9205143361449235,60,4,0.25,0.7855510164736608,11,9,0.0,0.8177702742189719,12,193,26
LUX,Luxembourg,Europe & Central Asia,High income,595181.0,132077.4754694976,1,0.0384615384615384,0.6792069728068933,21,6,0.0,0.8328366112019977,18,7,0.14285714285714285,0.9896118582899991,4,4,0.0,0.7630458643046747,22,9,0.0,0.8161753266508913,13,193,26
CZE,Czechia,Europe & Central Asia,High income,10601725.4,44875.65262959412,2,0.0769230769230769,0.7306943708589259,17,6,0.0,0.8489921305310624,12,7,0.14285714285714285,0.9562019417740775,30,4,0.25,0.7031982734362339,58,9,0.0,0.8097716791500749,14,193,26
USA,United States,North America,High income,326306574.8,66473.01028986018,2,0.0769230769230769,0.8550311559518963,8,6,0.0,0.721550053432473,84,7,0.14285714285714285,0.9138985755857656,72,4,0.25,0.7324631956840566,36,9,0.0,0.8057357451635478,15,193,26
SVN,Slovenia,Europe & Central Asia,High income,2071448.0,41563.6797613696,1,0.0384615384615384,0.6779266272763665,22,6,0.0,0.8374284361606179,15,7,0.14285714285714285,0.9339615960818666,52,4,0.0,0.773573339196457,16,9,0.0,0.805722499678827,16,193,26
NZL,New Zealand,East Asia & Pacific,High income,4801600.0,46218.81228354776,1,0.0384615384615384,0.6743030036937113,23,6,0.0,0.8253918310542672,25,7,0.14285714285714285,0.9187125225851258,65,4,0.0,0.793972891705199,8,9,0.0,0.8030950622595759,17,193,26
CHE,Switzerland,Europe & Central Asia,High income,8439436.6,78070.45034660664,1,0.0384615384615384,0.8352090043731014,10,6,0.0,0.6639529349388084,110,7,0.14285714285714285,0.9483929944940563,37,4,0.0,0.7646785951566378,21,9,0.0,0.803058382240651,18,193,26
IRL,Ireland,Europe & Central Asia,High income,4833320.4,87876.74031429399,1,0.0384615384615384,0.694201995616675,20,6,0.0,0.7526449707553831,62,7,0.14285714285714285,0.9240148867420244,57,4,0.0,0.8315798802336001,1,9,0.0,0.8006104333369206,19,193,26
CAN,Canada,North America,High income,36610298.2,56560.1375382584,1,0.0384615384615384,0.751060450017869,16,6,0.0,0.7663801634764503,57,7,0.14285714285714285,0.8882866246726704,87,4,0.0,0.7919311320519059,9,9,0.0,0.7994145925547239,20,193,26
NLD,Netherlands,Europe & Central Asia,High income,17135606.2,65524.25049191624,1,0.0384615384615384,0.7946422085942241,12,6,0.0,0.7939363430120309,38,7,0.14285714285714285,0.9332033521228416,53,4,0.0,0.6649056239430973,86,9,0.0,0.7966718819180485,21,193,26
MDV,Maldives,South Asia,Upper middle income,458115.8,20227.88513446172,0,0.0,0.5428082750870333,42,6,0.0,0.8335734297847213,17,7,0.0,0.9702682370087844,16,4,0.0,0.7980405859266773,6,9,0.0,0.7861726319518041,22,193,26
GBR,United Kingdom,Europe & Central Asia,High income,65916200.0,51246.72659829564,1,0.0384615384615384,0.7043249696725941,18,6,0.0,0.8022252572034044,34,7,0.14285714285714285,0.9193555687134758,64,4,0.0,0.7163281258832328,44,9,0.0,0.7855584803681768,23,193,26
ESP,Spain,Europe & Central Asia,High income,46670437.2,45199.26139222644,1,0.0384615384615384,0.6449209188532831,29,6,0.0,0.7400475066466544,72,7,0.14285714285714285,0.9550424082252345,32,4,0.0,0.7745812685503448,15,9,0.0,0.7786480255688792,24,193,26
SVK,Slovak Republic,Europe & Central Asia,High income,5438949.8,35269.93006923226,1,0.0384615384615384,0.5938029528903954,32,6,0.0,0.8283455941982859,22,7,0.14285714285714285,0.9623161365067259,23,4,0.0,0.7173988313513748,43,9,0.0,0.7754658787366955,25,193,26
PRT,Portugal,Europe & Central Asia,High income,10310782.6,37938.9344935773,1,0.0384615384615384,0.670886260568819,24,6,0.0,0.6926073082350904,97,7,0.14285714285714285,0.9601730266700844,24,4,0.0,0.7702644180338383,18,9,0.0,0.773482753376958,26,193,26
HRV,Croatia,Europe & Central Asia,High income,4047632.8,32297.91111462356,1,0.0384615384615384,0.5929113746534783,33,6,0.0,0.8571043348420216,11,7,0.14285714285714285,0.9152107996414531,68,4,0.0,0.7116733195238027,47,9,0.0,0.7692249571651889,27,193,26
AND,Andorra,Europe & Central Asia,High income,73950.8,63202.42391926036,4,0.1538461538461538,0.5645719971529731,40,6,0.16666666666666666,0.79306323721773,39,7,0.14285714285714285,0.9776348192598014,11,4,0.25,0.7390831156505907,32,9,0.1111111111111111,0.7685882923202738,28,193,26
ITA,Italy,Europe & Central Asia,High income,60044963.8,48594.531043109855,1,0.0384615384615384,0.6492379606677942,28,6,0.0,0.7404520908242386,70,7,0.14285714285714285,0.908578032959132,75,4,0.0,0.7573050759114517,24,9,0.0,0.7638932900906541,29,193,26
URY,Uruguay,Latin America & Caribbean ,High income,3385495.6,29561.028621070443,2,0.0769230769230769,0.6041402553582664,30,6,0.0,0.828328489083256,23,7,0.14285714285714285,0.9193650921392078,63,4,0.25,0.6871293162808386,74,9,0.0,0.7597407882153921,30,193,26
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,30401603.0,59551.3464275894,0,0.0,0.4502722868091502,60,6,0.0,0.8692364129536747,8,7,0.0,0.9729502025039536,14,4,0.0,0.729829034851629,37,9,0.0,0.7555719842796018,31,193,26
BLR,Belarus,Europe & Central Asia,Upper middle income,9449597.4,25805.2616101899,2,0.0769230769230769,0.6506495746089037,27,6,0.0,0.7901149636236653,40,7,0.14285714285714285,0.9549718293872287,33,4,0.25,0.6122043999499703,114,9,0.0,0.751985191892442,32,193,26
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,2517376.2,117252.1071717208,0,0.0,0.3429346613064137,88,6,0.0,0.9576354765295764,1,7,0.0,0.9774170852937167,12,4,0.0,0.7087091624784967,52,9,0.0,0.746674096402051,33,193,26
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,8715240.0,42854.64162097904,2,0.0769230769230769,0.5279205804875065,49,6,0.0,0.7623434329031993,59,7,0.14285714285714285,0.9666844126236895,20,4,0.25,0.7264596774701316,39,9,0.0,0.7458520258711318,34,193,26
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,470729.2,50314.11478877616,1,0.0384615384615384,0.6949066120095724,19,6,0.0,0.6793839362541803,106,7,0.14285714285714285,0.9452842452889392,38,4,0.0,0.64959822247046,91,9,0.0,0.7422932540057879,35,193,26
HUN,Hungary,Europe & Central Asia,High income,9737210.8,34230.79361379682,2,0.0769230769230769,0.592121438040106,35,6,0.0,0.7555947538089919,60,7,0.14285714285714285,0.9848619247385211,6,4,0.25,0.6280352282588941,99,9,0.0,0.7401533362116283,36,193,26
ARG,Argentina,Latin America & Caribbean ,Upper middle income,44258913.2,27760.576814925906,1,0.0384615384615384,0.6546176521084986,26,6,0.0,0.7515536868011014,63,7,0.14285714285714285,0.8513215977301716,101,4,0.0,0.7004171361212989,60,9,0.0,0.7394775181902676,37,193,26
