iso3,block,median_rank,mean_rank,rank_std,rank_p05,rank_p95,median_score,top_quartile_probability,bottom_quartile_probability,method_disagreement_index,n_valid_pipelines,n_countries_in_sample,n_indicators,country,region,income_group,expanded_feature_missing_count,expanded_feature_missing_rate
CHE,capacity,5.0,5.166666666666667,2.4641879437701624,2.0,10.0,0.5737844947421332,1.0,0.0,0.041666666666666664,60,193,6,Switzerland,Europe & Central Asia,High income,1,0.0384615384615384
CHL,capacity,65.5,65.95,2.7894145144336893,61.95,71.0,0.2445492751249687,0.0,0.0,0.04713541666666665,60,193,6,Chile,Latin America & Caribbean ,High income,1,0.0384615384615384
CHN,capacity,96.0,96.6,2.444040370643115,93.0,101.0,0.18577474431271038,0.0,0.0,0.041666666666666664,60,193,6,China,East Asia & Pacific,Upper middle income,1,0.0384615384615384
CIV,capacity,176.0,169.71666666666667,15.29715841441003,141.0,185.0,0.04067599748735142,0.0,0.9333333333333333,0.22916666666666666,60,193,6,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,1,0.0384615384615384
CMR,capacity,171.0,171.1,4.72122865364515,163.95,178.0,0.05564206847626471,0.0,1.0,0.07317708333333339,60,193,6,Cameroon,Sub-Saharan Africa ,Lower middle income,0,0.0
COD,capacity,174.0,171.86666666666667,6.766256145182668,160.0,180.0,0.049266602953677366,0.0,1.0,0.10416666666666667,60,193,6,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,1,0.0384615384615384
COG,capacity,180.0,180.11666666666667,5.186815550562363,171.0,187.0,0.035802593854304884,0.0,1.0,0.08333333333333333,60,193,6,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,1,0.0384615384615384
COL,capacity,90.0,90.13333333333334,5.4511976258025685,81.0,100.0,0.19304045081245008,0.0,0.0,0.09895833333333333,60,193,6,Colombia,Latin America & Caribbean ,Upper middle income,0,0.0
COM,capacity,155.0,148.85,10.579579386724218,127.0,159.05,0.08106087488361288,0.0,0.6666666666666666,0.1669270833333334,60,193,6,Comoros,Sub-Saharan Africa ,Lower middle income,1,0.0384615384615384
CPV,capacity,134.0,135.68333333333334,3.721521492914185,131.0,142.0,0.10677643963492946,0.0,0.0,0.057291666666666664,60,193,6,Cabo Verde,Sub-Saharan Africa ,Upper middle income,0,0.0
CRI,capacity,85.0,85.96666666666667,4.9428961371064855,80.0,98.0,0.20041812296130676,0.0,0.0,0.09375,60,193,6,Costa Rica,Latin America & Caribbean ,High income,0,0.0
CUB,capacity,9.5,9.833333333333334,2.9448637018073045,6.0,13.199999999999989,0.5269622383529402,1.0,0.0,0.03749999999999994,60,193,6,Cuba,Latin America & Caribbean ,Upper middle income,0,0.0
CYP,capacity,70.0,69.8,3.65057073163453,62.95,74.0,0.2334506839617008,0.0,0.0,0.057552083333333316,60,193,6,Cyprus,Europe & Central Asia,High income,2,0.0769230769230769
CZE,capacity,22.0,22.366666666666667,2.863370197667233,17.0,27.0,0.4094813232392358,1.0,0.0,0.052083333333333336,60,193,6,Czechia,Europe & Central Asia,High income,2,0.0769230769230769
DEU,capacity,4.0,3.566666666666667,1.6868774571839995,1.0,6.0,0.5728681363769632,1.0,0.0,0.026041666666666668,60,193,6,Germany,Europe & Central Asia,High income,1,0.0384615384615384
DJI,capacity,161.0,160.23333333333332,15.041461217433483,134.0,179.05,0.06198282364466519,0.0,0.8166666666666667,0.23463541666666674,60,193,6,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2,0.0769230769230769
DMA,capacity,87.0,87.75,3.003470215156683,83.0,94.0,0.20608744318482408,0.0,0.0,0.057291666666666664,60,193,6,Dominica,Latin America & Caribbean ,Upper middle income,2,0.0769230769230769
DNK,capacity,11.0,11.6,2.4846193538112296,7.95,17.0,0.4845583426861292,1.0,0.0,0.04713541666666667,60,193,6,Denmark,Europe & Central Asia,High income,1,0.0384615384615384
DOM,capacity,129.5,130.25,4.6605614826256,124.0,140.0,0.11115766226503465,0.0,0.0,0.08333333333333333,60,193,6,Dominican Republic,Latin America & Caribbean ,Upper middle income,0,0.0
DZA,capacity,114.0,114.33333333333333,1.946506842754191,111.95,119.0,0.14519024827503346,0.0,0.0,0.03671874999999999,60,193,6,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0,0.0
ECU,capacity,92.0,92.2,4.4751163858235765,85.0,102.0,0.19348082500356895,0.0,0.0,0.08854166666666667,60,193,6,Ecuador,Latin America & Caribbean ,Upper middle income,0,0.0
EGY,capacity,145.0,143.33333333333334,5.306180882287707,134.9,152.0,0.09382502777453755,0.0,0.5166666666666667,0.08906249999999998,60,193,6,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0.0
ERI,capacity,178.0,176.4,3.277193921634788,171.0,180.0,0.05367966897036596,0.0,1.0,0.046875,60,193,6,Eritrea,Sub-Saharan Africa ,Low income,1,0.0384615384615384
ESP,capacity,34.0,33.833333333333336,3.455269727371351,29.0,40.0,0.36003059548909344,1.0,0.0,0.057291666666666664,60,193,6,Spain,Europe & Central Asia,High income,1,0.0384615384615384
EST,capacity,46.0,45.6,2.608958923913266,40.95,50.0,0.31681265127524316,0.9333333333333333,0.0,0.04713541666666665,60,193,6,Estonia,Europe & Central Asia,High income,1,0.0384615384615384
ETH,capacity,189.0,188.88333333333333,1.0015266125049076,187.0,190.0,0.023822617283179547,0.0,1.0,0.015625,60,193,6,Ethiopia,Sub-Saharan Africa ,Not classified,0,0.0
FIN,capacity,16.0,16.3,2.3043437243605824,14.0,21.0,0.45318626842896226,1.0,0.0,0.036458333333333336,60,193,6,Finland,Europe & Central Asia,High income,2,0.0769230769230769
FJI,capacity,133.0,133.6,4.796526521001074,126.95,141.1,0.11177687666480922,0.0,0.0,0.07369791666666663,60,193,6,Fiji,East Asia & Pacific,Upper middle income,0,0.0
FRA,capacity,11.0,10.2,3.1187604375242843,4.0,14.0,0.48990994722443737,1.0,0.0,0.052083333333333336,60,193,6,France,Europe & Central Asia,High income,1,0.0384615384615384
FSM,capacity,92.0,89.63333333333334,14.83797680128782,62.0,110.0,0.1948499003750554,0.0,0.0,0.25,60,193,6,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,3,0.1153846153846153
GAB,capacity,142.0,135.31666666666666,14.960494272880455,108.0,151.05,0.09314594586292879,0.0,0.4,0.22421875000000005,60,193,6,Gabon,Sub-Saharan Africa ,Upper middle income,1,0.0384615384615384
GBR,capacity,25.0,24.566666666666666,3.774328490679575,19.0,31.0,0.39737840773096,1.0,0.0,0.0625,60,193,6,United Kingdom,Europe & Central Asia,High income,1,0.0384615384615384
GEO,capacity,45.5,45.65,4.7181387573208715,39.0,54.0,0.32881152945686226,0.7666666666666667,0.0,0.078125,60,193,6,Georgia,Europe & Central Asia,Upper middle income,0,0.0
GHA,capacity,171.0,171.36666666666667,4.736266696695006,163.9,179.0,0.058163371102724556,0.0,1.0,0.0786458333333333,60,193,6,Ghana,Sub-Saharan Africa ,Lower middle income,0,0.0
GIN,capacity,174.0,172.65,5.108244969328181,161.0,178.05,0.04956343915394583,0.0,1.0,0.08880208333333339,60,193,6,Guinea,Sub-Saharan Africa ,Lower middle income,1,0.0384615384615384
GMB,capacity,184.0,183.78333333333333,1.7038355424029503,181.0,186.0,0.037745235121256354,0.0,1.0,0.026041666666666668,60,193,6,"Gambia, The",Sub-Saharan Africa ,Low income,0,0.0
GNB,capacity,142.5,143.31666666666666,9.328257548378954,127.0,156.2,0.08813954140473743,0.0,0.45,0.15208333333333326,60,193,6,Guinea-Bissau,Sub-Saharan Africa ,Low income,1,0.0384615384615384
GNQ,capacity,171.0,158.48333333333332,24.616046031445062,114.0,183.05,0.04865476251867383,0.0,0.6666666666666666,0.3596354166666667,60,193,6,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,2,0.0769230769230769
GRC,capacity,38.0,38.46666666666667,3.373754914367999,34.0,45.0,0.34530774234026373,1.0,0.0,0.057291666666666664,60,193,6,Greece,Europe & Central Asia,High income,1,0.0384615384615384
GRD,capacity,102.0,101.5,3.1859064644147983,96.0,107.0,0.17821271673474348,0.0,0.0,0.057291666666666664,60,193,6,Grenada,Latin America & Caribbean ,Upper middle income,2,0.0769230769230769
GTM,capacity,148.5,147.51666666666668,4.856238828100977,141.0,155.0,0.08623654351385628,0.0,0.6,0.07291666666666667,60,193,6,Guatemala,Latin America & Caribbean ,Upper middle income,0,0.0
GUY,capacity,124.0,124.96666666666667,3.286166290510705,120.0,132.0,0.12097260115387065,0.0,0.0,0.0625,60,193,6,Guyana,Latin America & Caribbean ,High income,0,0.0
HND,capacity,139.0,139.88333333333333,4.796150076421249,134.0,150.0,0.09630025890071557,0.0,0.15,0.08333333333333333,60,193,6,Honduras,Latin America & Caribbean ,Lower middle income,0,0.0
HRV,capacity,42.0,40.93333333333333,2.851120637379079,35.0,45.0,0.33428541961276026,1.0,0.0,0.052083333333333336,60,193,6,Croatia,Europe & Central Asia,High income,1,0.0384615384615384
HTI,capacity,139.5,141.01666666666668,6.461402496534496,132.0,152.0,0.09419406469459932,0.0,0.31666666666666665,0.10416666666666667,60,193,6,Haiti,Latin America & Caribbean ,Lower middle income,0,0.0
HUN,capacity,41.0,40.28333333333333,3.0281549204461484,35.0,45.0,0.332823816008443,1.0,0.0,0.052083333333333336,60,193,6,Hungary,Europe & Central Asia,High income,2,0.0769230769230769
IDN,capacity,168.0,167.71666666666667,5.879602216325712,159.65,175.0,0.06237725053803628,0.0,1.0,0.07994791666666663,60,193,6,Indonesia,East Asia & Pacific,Upper middle income,0,0.0
IND,capacity,162.0,160.41666666666666,4.164499436373543,153.8,166.0,0.06955416335069656,0.0,1.0,0.06354166666666661,60,193,6,India,South Asia,Lower middle income,1,0.0384615384615384
IRL,capacity,20.0,21.0,3.5071355833500366,16.0,28.0,0.418221765084717,1.0,0.0,0.0625,60,193,6,Ireland,Europe & Central Asia,High income,1,0.0384615384615384
IRN,capacity,105.0,105.86666666666666,2.723151768733347,102.0,111.0,0.16460325044889879,0.0,0.0,0.046875,60,193,6,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2,0.0769230769230769
